paper_title,material,method,metric_value,unit,condition,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.168,mag,delta m15,dyn_a889a5c23c,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2001el 12182 . 19 ± 0. 17 1 . 168 ± 0. 021 18 . 00 ± 0. 56 3 . 57 ± 0. 63 (6 , 7)",0.95,,
Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.162,mag,delta m15,dyn_9d53c21064,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2002bo 12356 . 39 ± 0. 20 1 . 162 ± 0. 031 16 . 05 ± 0. 37 1 . 57 ± 0. 53 (8 , 9, 10)",0.95,,
Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,0.982,mag,delta m15,dyn_64e68896e3,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2003du 12765 . 95 ± 0. 14 0 . 982 ± 0. 021 17 . 71 ± 0. 35 1 . 64 ± 0. 44 (11 , 12, 13, 14)",0.95,,
Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.403,mag,delta m15,dyn_4b0bc5751e,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2004eo 13278 . 65 ± 0. 14 1 . 403 ± 0. 037 16 . 64 ± 0. 44 3 . 86 ± 0. 53 (15 , 16)",0.95,,
Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.068,mag,delta m15,dyn_9cdb1fb9f2,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,SN 2005cf 13533 . 78 ± 0. 14 1 . 068 ± 0. 021 16 . 62 ± 0. 25 1 . 35 ± 0. 36 (17),0.95,,
Diversity of Decline Rate-Corrected Type Ia Supernova Rise Times: One Mode or Two?,Supplementary material not available in this excerpt,aquaa algorithm and simple parabolic fits to early data,difference in texpl,days,early data fitting,dyn_b6cd2771f6,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"From these simple ﬁts, texpl on average diﬀered by only +0.01 days from those of aquaa, with an rms diﬀerence of 0.33 days.",0.9,,
ZTF SN Ia DR2: Overview,Supplementary material and figures,SALT2 light curve fitting,"x1 (stretch), c (color)",dimensionless,"z < 0.06, volume-limited sample",dyn_d9fa6933a0,other_required_fields,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7,4.6. Selection,experiments,7.0,7.0,"We show the SALT2 stretch ( x1) and color ( c) parameters for all the 2667 SNe Ia passing our “basic quality” cuts in Fig 5. Below this redshift of 0.06, our sample is considered to be free from nonrandom selection functions for the normal SN Ia population (see Sect. 4.6). We refer to this sample as “volume limited” and it contains nearly 1000 normal SN Ia targets.",0.5,evidence text not found on recorded PDF page,
ZTF SN Ia DR2 Overview,ZTF DR2 non-peculiar SNe Ia sample,SALT2 stretch and color parameter with host local environmental properties,0.165,mag,after standardization,dyn_12c855f3f9,other_required_fields,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7,4.6. Selection,experiments,7.0,7.0,"This scatter reduces down to 0.165 mag after standardization (std: 0.209 mag), accounting for all 2629 of the ZTF DR2 non-peculiar SNe Ia.",0.9,,
Explosion Models for Type Ia Supernovae: A Comparison with Observed Light Curves,37 SNe Ia parameterized explosion models encompassing all currently discussed explosion scenarios,One-dimensional Lagrangian hydro with artificial viscosity; radiation-hydro codes including nuclear networks; piecewise parabolic method for hydrodynamics; implicit radiation transport via moment equations; Monte Carlo scheme for γ-ray transport; NLTE spectra constructed for several models,,,Theoretical model comparison with observed light curves; includes filter function uncertainty in color translation,dyn_9330b5a700,other_required_fields,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7,2. Models,method,7.0,7.0,"A set of 37 SNe Ia parameterized explosion models has been considered which encompasses all currently discussed explosion scenarios (Table 1). The explosions are calculated using one-dimensional Lagrangian hydro with artificial viscosity (Khokhlov, 1991ab) and radiation-hydro codes including nuclear networks (Höflich et al. 1995b). ... Another uncertainty which affects the comparison with observations is due to the filter functions. For observations, any filter can be recalibrated to a set of standard stars, but the frequency response must be known to translate theoretical monochromatic fluxes into colors.",0.0,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review; record confidence is below the review threshold; evidence text not found on recorded PDF page,record contains extraction warnings that require review; record confidence is below the review threshold
The late time light curve of the Type Ia supernova 2000cx,HST science archive,HSTPhot package with option 10 (local sky determination and default aperture corrections),22.21,mag,converted from F675W using SYNPHOT task pltrans with late-time spectrum at 360 days past maximum,dyn_52937438cc,other_required_fields,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4,2. Observations and data analysis,method,4.0,4.0,"This gave an offset of 0.23 (Vega) mag, which converts our measured F675W magnitude to R = 22.21 mag, and similarly F814W to I = 21.68 mag.",0.95,,
The late time light curve of the Type Ia supernova 2000cx,HST science archive,HSTPhot package with option 10 (local sky determination and default aperture corrections),21.68,mag,converted from F814W using SYNPHOT task pltrans with late-time spectrum at 360 days past maximum,dyn_f2b9eace52,other_required_fields,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4,2. Observations and data analysis,method,4.0,4.0,"This gave an offset of 0.23 (Vega) mag, which converts our measured F675W magnitude to R = 22.21 mag, and similarly F814W to I = 21.68 mag.",0.95,,
The late time light curve of the Type Ia supernova 2000cx,spectra of a Helium-Argon lamp,"bias subtraction, flat fielding, and wavelength calibration",flux calibration relative to spectrophotometric standard stars LTT377 and G158-100,absolute flux calibration,using 300V grism and 300I grism,dyn_084f646194,other_required_fields,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4,2. Observations and data analysis,method,4.0,4.0,"bias subtraction, flat fielding, and wavelength calibration using spectra of a Helium-Argon lamp. Flux calibration was done relative to the spectrophotometric standard star LTT377 with the 300V grism and to G158-100 with the 300I grism. The absolute flux calibration of the combined spectrum was obtained relative to our broad-band photometry.",0.9,,
Towards Cosmology with ZTF Supernova Light Curves Using Scene Modeling,ZTF SN Ia DR2 dataset,Scene modeling method,,,Input data frames re-analyzed from sci exposures detrended by the ZTF pipeline (Masci et al. 2019),dyn_0a72ff2199,other_required_fields,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,5,3.2. Input Data Frames,method,5.0,5.0,"We start our re-analysis of the ZTF SN Ia DR2 dataset from the sci exposures already detrended by the ZTF pipeline (Masci et al. 2019). The ZTF DAQ delivers 64 fits frames per exposures, one for each amplifier. These frames are slightly compressed (slightly lossy Rice compression with fpack) at the telescope to accomodate the limited bandwidth of the hpwren microwave network connecting Palomar with the outer world. At IPAC, the resulting image is overscan-corrected, bias subtracted and flat-fielded. Bias frames are taken daily and stacked using a robust averaging algorithm to produce a master bias frame. The same process is applied to create master flatfield frames from individual frames taken daily with a LED-based illumination system. Bad pixels are identified and tagged during this process.",0.9,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review,record contains extraction warnings that require review
ZTF Supernova Light Curves Using Scene Modeling: Towards Cosmology,"detrended images, mask images, WCS solution","Scene modeling using detrended images, mask images, and WCS solution",volume of the ZTF exposure,not specified,as detailed in Table 1,dyn_cf7026b00d,other_required_fields,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,5,3.1. TheScenemodelingMethod,method,5.0,5.0,Our effort uses (1) the detrended images for each quadrant (2) the mask images that notably identify cosmics and saturated pixels and (3) the WCS solution stored in the headers. As detailed in Table 1 the volume of the ZTF exposure,0.85,,
ZTF SNe Ia DR2: Towards cosmology-grade ZTF supernova light curves using scene modeling photometry,ZTF SN Ia Data Release 2,scene modeling photometry,,,,dyn_c920ec32e1,other_required_fields,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,2. Dataset,data,3.0,3.0,The Zwicky Transient Facility (ZTF) SN Ia Data Release,0.95,required dynamic field missing: metric_value; required dynamic field missing: unit; required dynamic field missing: condition; record contains extraction warnings that require review,record contains extraction warnings that require review
Towards cosmology-grade ZTF supernova light curves using SceneMo,Supplementary materials not included in this excerpt,Photometric follow-up using ZTF survey; flux reconstruction with precision control,,,Redshift range: 0.02 < z < 0.09; spectroscopic completeness up to z ∼ 0.06,dyn_d42fd0877f,other_required_fields,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,2. Dataset,data,3.0,3.0,"The dataset comprises of 3628 Type Ia SNe in the redshift range 0.02 < z < 0.09. The dataset is spectroscopically complete up to z∼ 0.06 and has benefited from an exquisite photometric follow-up, using the ZTF survey (Bellm et al. 2019b) which aims to study the closeby dynamic Universe (Graham et al. 2019).",0.9,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review,record contains extraction warnings that require review
Light Curves of Five Type Ia Supernovae at Intermediate Redshift,Supplementary material not provided in this excerpt,SALT2,meff_B = mB + αx · x1 − β · c,magnitude,Color-corrected peak B-band magnitude using αx = 0.13 ± 0.01 and β = 1.77 ± 0.16,dyn_98c732d56b,other_required_fields,arxiv_0711_1375v2_light_curves_of_five_type_ia_supernovae_at_intermediate_redshift.pdf,pdf_text,6,4. Data Analysis,data,6.0,6.0,"The lightcurve shape, x1, and colour, c, corrected peak B-band magnitude, meﬀB , is obtained as meﬀB = mB + αx · x1 − β · c, where the values αx = 0.13 ± 0.01 and β = 1.77 ± 0.16 (Guy et al. 2007) are used.",0.9,,
,,"empirical colour correction factor, β, which if associated with reddening by dust along the line of sight, corresponds to the total",worse goodness-of-fit,,omitting them from the fit,dyn_6ffbf19c0f,other_required_fields,arxiv_0711_1375v2_light_curves_of_five_type_ia_supernovae_at_intermediate_redshift.pdf,pdf_text,6,4. Data Analysis,data,6.0,6.0,"We concluded that omitting them from the ﬁt generally gives a worse goodness-of-ﬁt, but similar ﬁt results",0.0,required dynamic field missing: paper_title; required dynamic field missing: material; required dynamic field missing: unit; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog (Guillochon et al. 2017),Dimensionality reduction using an implicit rank minimizing autoencoder; PCA for de-redshifting latent variables,95% of variance described by three latent variables,%,Three latent variables after de-redshifting,dyn_4757621722,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_text,2,ABSTRACT,abstract,2.0,2.0,"We find that three such variables alone describe∼95% of the variance in our sample, and provide a clear delineation between over-luminous SN 91T events and under-luminous 91bg events.",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog (Guillochon et al. 2017),Feature engineering and processing of photometric data from the Open Supernova Catalog,"8,617 supernovae with considered filters",supernovae,With considered filters,dyn_449fa164f4,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_text,2,ABSTRACT,abstract,2.0,2.0,"with considered filters 877,630 8,617",0.9,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog (Guillochon et al. 2017),Processing and feature engineering of photometric data,"5,142 supernovae with at least 25 measurements",supernovae,With at least 25 measurements,dyn_b0ce7169b6,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_text,2,ABSTRACT,abstract,2.0,2.0,"with at least 25 measurements 855,613 5,142",0.9,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog (Guillochon et al. 2017),Data selection via quality cuts and filtering,"14,460 supernovae pass quality cuts",supernovae,Pass quality cuts,dyn_f98a2e7ad0,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_text,2,ABSTRACT,abstract,2.0,2.0,"pass quality cuts 1,273,185 14,460",0.9,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog (Guillochon et al. 2017),Data selection based on host information availability,"9,456 supernovae have host information",supernovae,Has host information,dyn_848765da63,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_text,2,ABSTRACT,abstract,2.0,2.0,"has host information 954,824 9,456",0.9,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog (OACAPI),"Selection cuts based on photometric data availability, SNR, number of measurements, and classification as unambiguous Type Ia events","3,640",events,"Unambiguous Type Ia classification, complete host information, photometric data in 16 bands, SNR > 5, ≥25 measurements",dyn_f26f7f0af9,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_text,2,ABSTRACT,abstract,2.0,2.0,"After applying the selection cuts, 5,142 events with 855,613 measurements remained. Details of the effect of each cut are shown in table 1. We further select all events that were exclusively identified as Ia (as some events have multiple, different claimed types from different sources), often from spectroscopy. This leaves us with 3,640 unambiguous Ia events which have a combined 681,462 measurements.",0.95,,
A Hierarchical Bayesian Analysis of Type Ia Supernova Light Curves in the Near Infrared,PAI RITEL and literature data,hierarchical Bayesian framework with MCMC using Gibbs sampling,"0.17 ± 0.03, 0.11 ± 0.03, 0.19 ± 0.04",mag,"for marginal intrinsic variances in peak absolute magnitudes (MJ, MH, MKs)",dyn_42c7a854ca,other_required_fields,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,1,ABSTRACT,abstract,1.0,1.0,"The marginal intrinsic variances in peak absolute magnitudes are: σ(MJ ) = 0 .17 ± 0.03, σ(MH ) = 0 .11 ± 0.03, and σ(MKs ) = 0.19 ± 0.04.",0.95,,
,,,,,,dyn_f54aba3d1f,other_required_fields,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,1,ABSTRACT,abstract,1.0,1.0,"have included ∆ m15(B) (Phillips 1993; Hamuy et al. 1996b; Phillips et al. 1999), MLCS (Riess et al. 1996a, 1998; Jha et al. 2007), “stretch” (Goldhaber et al. 2001), CMAGIC (Wang et al. 2003), and SALT (Guy et al. 2005, 2007). The largest systematic uncertainty that limits the precision of rest-frame optical light curves is dust extinction in the host galaxy and the entanglement of dust reddening with the intrinsic color variations of SN (e.g., Conley et al. 2007).",0.0,required dynamic field missing: paper_title; required dynamic field missing: material; required dynamic field missing: method; required dynamic field missing: metric_value; required dynamic field missing: unit; required dynamic field missing: condition; record contains extraction warnings that require review; record confidence is below the review threshold; evidence text not found on recorded PDF page,record contains extraction warnings that require review; record confidence is below the review threshold
The Rising Light Curves of Type Ia Supernovae,Supplementary material not available in this excerpt,Power-law fitting to early light curve rise,2.01,dimensionless exponent,n ≥ 2,dyn_5df4f59708,other_required_fields,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,"SN 2011fe, n = 2 . 01 ± 0. 01 (Nugent et al. 2011);",0.95,,
The Rising Light Curves of Type Ia Supernovae,Supplementary material not available in this excerpt,Power-law fitting to early light curve rise,2.3,dimensionless exponent,n ≥ 2,dyn_7689b02147,other_required_fields,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,"SN 2010jn, n = 2. 3 ± 0. 6 (Hachinger et al. 2013);",0.9,,
The Rising Light Curves of Type Ia Supernovae,Supplementary material not available in this excerpt,Power-law fitting to early light curve rise,2.24,dimensionless exponent,n ≥ 2,dyn_fc34431c79,other_required_fields,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,"SN 2013dy, n = 2 . 24 ± 0. 08 (Zheng et al. 2013);",0.9,,
The Rising Light Curves of Type Ia Supernovae,Supplementary material not available in this excerpt,Power-law fitting to early light curve rise,2.94,dimensionless exponent,n ≥ 2,dyn_c519a5114b,other_required_fields,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,"SN 2014J, 2 . 94 ± 0. 20 (Zheng et al. 2014; Goobar et al. 2014).",0.95,,
The Rising Light Curves of Type Ia Supernovae,Supplementary materials and observational data from multiple surveys,Parameterisation and fitting of early-time light curves using photometric data,No systematic offset found in flux prior to first light,flux units (not specified),"Prior to first light, for entire sample of 18 'normal' SNe Ia",dyn_8e5bf1685e,other_required_fields,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,Figure 1. Flux prior to ﬁrst light for our entire sample. No ev- idence of a systematic oﬀset is found.,0.9,,
Light curve studies of nearby Type Ia Supernovae with a Multi-band Stretch method,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.),Multi-band Stretch method,'-18.79,mag,B-band,dyn_f08dad2929,other_required_fields,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7.0,7.0,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.) B-band −18.79 (0.76) 0.96 (0.12) 108,0.5,evidence text not found on recorded PDF page,
Light curve studies of nearby Type Ia Supernovae with a Multi-band Stretch method,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.),Multi-band Stretch method,'-18.84,mag,V-band,dyn_bc59ba90c9,other_required_fields,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7.0,7.0,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.) V-band −18.84 (0.58) 1.00 (0.13) 108,0.5,evidence text not found on recorded PDF page,
Light curve studies of nearby Type Ia Supernovae with a Multi-band Stretch method,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.),Multi-band Stretch method,'-18.93,mag,R-band,dyn_5ecd90928e,other_required_fields,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7.0,7.0,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.) R-band −18.93 (0.53) 1.00 (0.13) 88,0.5,evidence text not found on recorded PDF page,
Light curve studies of nearby Type Ia Supernovae with a Multi-band Stretch method,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.),Multi-band Stretch method,'-18.70,mag,I-band,dyn_f9afce11b8,other_required_fields,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7.0,7.0,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.) I-band −18.70 (0.45) 0.98 (0.15) 102,0.5,evidence text not found on recorded PDF page,
