supernova_name,fit_method,fit_parameters,residual_std_dev,chi_squared,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
SN 2001el,AQUAA,"['tBmax=12182.19', 'delta_m15=1.168']",,,dyn_ddee8d352c,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,"SN 2001el 12182 . 19 ± 0. 17 1 . 168 ± 0. 021 18 . 00 ± 0. 56 3 . 57 ± 0. 63 (6 , 7)",0.9,,
SN 2002bo,AQUAA,"['tBmax=12356.39', 'delta_m15=1.162']",,,dyn_3f090db1e7,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,"SN 2002bo 12356 . 39 ± 0. 20 1 . 162 ± 0. 031 16 . 05 ± 0. 37 1 . 57 ± 0. 53 (8 , 9, 10)",0.9,,
SN 2003du,AQUAA,"['tBmax=12765.95', 'delta_m15=0.982']",,,dyn_4f54987add,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,"SN 2003du 12765 . 95 ± 0. 14 0 . 982 ± 0. 021 17 . 71 ± 0. 35 1 . 64 ± 0. 44 (11 , 12, 13, 14)",0.9,,
SN 2004eo,AQUAA,"['tBmax=13278.65', 'delta_m15=1.403']",,,dyn_7afa886d6c,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,"SN 2004eo 13278 . 65 ± 0. 14 1 . 403 ± 0. 037 16 . 64 ± 0. 44 3 . 86 ± 0. 53 (15 , 16)",0.9,,
SN 2005cf,AQUAA,"['tBmax=13533.78', 'delta_m15=1.068']",,,dyn_468512a6e0,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,SN 2005cf 13533 . 78 ± 0. 14 1 . 068 ± 0. 021 16 . 62 ± 0. 25 1 . 35 ± 0. 36 (17),0.9,,
SN 1998aq,aquaa,,,,dyn_72cc651f2b,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,"From these simple ﬁts, texpl on average diﬀered by only +0.01 days from those of aquaa, with an rms diﬀerence of 0.33 days.",0.85,,
,SALT2,"['x1=stretch', 'c=color']",,,dyn_11a5755aa6,light_curve_fits,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7,4.6. Selection,experiments,7,7,We show the SALT2 stretch ( x1) and color ( c) parameters for all the 2667 SNe Ia passing our “basic quality” cuts in Fig 5.,0.9,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
,SALT2,"['alpha=-0.16', 'beta=3.05', 'gamma=0.145']",0.209,,dyn_f15cf02e72,light_curve_fits,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7,4.6. Selection,experiments,7,7,"Following that paper, we have used α =−0.16, β = 3.05, and γ = 0.145 mag (local-color step). Before standardization, our SNe Ia have a natural scatter along the Hubble diagram of 0.33 mag, using the normalized median absolute deviation (nMAD) as a robust scatter estimator. The standard deviation (std) is 0.46 mag (nMAD = std for a normal distribution). This scatter reduces down to 0.165 mag after standardization (std: 0.209 mag), accounting for all 2629 of the ZTF DR2 non-peculiar SNe Ia.",0.9,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,,,dyn_f29791b3e5,light_curve_fits,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7,2. Models,method,7,7,"Based on the explosion models, further hydrodynamical evolution, and bolometric and monochromatic light curves are calculated using a scheme recently developed and widely applied to SN Ia (e.g. HKM91, KMH93, MH94). In principle, it is the same code as that described above, but nuclear burning is neglected and γ ray transport is included via a Monte Carlo scheme.",0.0,required dynamic field missing: supernova_name; required dynamic field missing: fit_method; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
SN 2000cx,HSTPhot,"['local sky determination', 'default aperture corrections']",,,dyn_aefb43af6f,light_curve_fits,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4,2. Observations and data analysis,method,4,4,"The photometry was performed using the HSTPhot package as described by Dolphin (2000). This software fits point-spread functions (PSF) to the detected objects, and also accounts for charge transfer efficiencies and aperture corrections. Following Li et al. (2002), we used option 10 to measure the supernova magnitudes. This option uses local sky determination and default aperture corrections.",0.9,,
,Scene modeling method,"['SN fluxes fi', 'SN position xSN', 'galaxy model G', 'sky levels S i']",,,dyn_ca297782fd,light_curve_fits,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,5,3.1. The Scene modeling Method,method,5,5,"The scene modeling method we use is described in Astier et al. (2013). It consists in fitting a model of the scene i.e. the SN and its host galaxy, on a series of image cutouts centered on the SN. These include on (containing SN light), and off (taken either before or after the SN has faded) images. The model is of the form: Yip = Ri h fi×ψi (xp− Ti(xSN)) + Ki⊗ G (T−1 i (xp)) + S i i , (1) where the indices i, p are running over the cutouts and cutout pixels, respectively. fi is the SN flux on cutout i, ψi is the PSF model on exposure i at the position of the SN. The galaxy background flux profile, noted G(x) is modeled using a free pixel grid defined in the frame of the best seeing cutout, called hereafter reference cutout. To predict the galaxy profile in cutout i, G is convolved with Ki, a position-variable kernel that allows to match the reference and current PSF models: ψi = Ki⊗ψref. Ti are the coordinate mappings from the reference cutout to image i, modeled as polynomial functions of the coordinates. S i is an additive term introduced to account for sky level differences between image i and the reference image. Finally, the Ri’s are the photometric coefficients that account for the throughput differences between exposure i and the reference exposure.",0.95,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,,,dyn_e390d803c6,light_curve_fits,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,2. Dataset,data,3,3,"This paper has two objectives. First, to describe the pho-",0.0,No light curve fitting details provided in this excerpt.; required dynamic field missing: supernova_name; required dynamic field missing: fit_method; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
,SALT2,"['x1', 'c', 'x0', 'time of B-band maximum']",,,dyn_9febdf52d0,light_curve_fits,arxiv_0711_1375v2_light_curves_of_five_type_ia_supernovae_at_intermediate_redshift.pdf,pdf_text,6,4. Data Analysis,data,6,6,"For this work we chose the SALT2 method (Guy et al. 2007) to fit the light curves. In summary, SALT2 consists of three components; a model of the time dependent average SN Ia SED, light curve shape variation from the average, and a wavelength dependent function that warps the SED. Variation from the average SED is parametrised by a single light curve shape parameter,x1, chosen so that x1 = 0 corresponds to the average decline rate, and x1 < 0 and x1 > 0 represents fast and slow decline rates respectively. The deviation,c, from the mean SN Ia B − V colour at the time of B-band maximum is used to parameterise the contribution of the warping function. These two parameters are fitted for each SN together with the overall flux normalisation of the light curve x0, which is related to the peak B-band magnitude, and the time of the B-band maximum.",0.95,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,,,dyn_cff8ebc46c,light_curve_fits,arxiv_0711_1375v2_light_curves_of_five_type_ia_supernovae_at_intermediate_redshift.pdf,pdf_text,6,4. Data Analysis,data,6,6,"We concluded that omitting them from the ﬁt generally gives a worse goodness-of-ﬁt, but similar ﬁt results",0.0,required dynamic field missing: supernova_name; required dynamic field missing: fit_method; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
,hierarchical Bayesian framework,"['photometric error', 'peculiar velocities', 'dust extinction', 'intrinsic variations']",0.1,,dyn_edcb1e2815,light_curve_fits,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,1,ABSTRACT,abstract,1,1,"We construct a hierarchical Bayesian framework, incorporating several uncertainties including photometric error, peculiar velocities, dust extinction and intrinsic variations, for principled and coherent statistical inference.",0.9,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,,,dyn_bcbf454737,light_curve_fits,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,1,ABSTRACT,abstract,1,1,"have included ∆ m15(B) (Phillips 1993; Hamuy et al. 1996b; Phillips et al. 1999), MLCS (Riess et al. 1996a, 1998; Jha et al. 2007), “stretch” (Goldhaber et al. 2001), CMAGIC (Wang et al. 2003), and SALT (Guy et al. 2005, 2007).",0.0,required dynamic field missing: supernova_name; required dynamic field missing: fit_method; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
SN 2011fe,power-law fit,['exponent=n=2.01±0.01'],,,dyn_2ca32852a5,light_curve_fits,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3,3,"SN 2011fe, n = 2 . 01 ± 0. 01 (Nugent et al. 2011);",0.95,,
SN 2010jn,power-law fit,['exponent=n=2.3±0.6'],,,dyn_2c53733ad6,light_curve_fits,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3,3,"SN 2010jn, n = 2. 3 ± 0. 6 (Hachinger et al. 2013);",0.9,,
SN 2013dy,power-law fit,['exponent=n=2.24±0.08'],,,dyn_b0dd716fed,light_curve_fits,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3,3,"SN 2013dy, n = 2 . 24 ± 0. 08 (Zheng et al. 2013);",0.9,,
SN 2014J,power-law fit,['exponent=n=2.94±0.20'],,,dyn_38eacc4e4d,light_curve_fits,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3,3,"SN 2014J, 2 . 94 ± 0. 20 (Zheng et al. 2014; Goobar et al. 2014).",0.95,,
SN 2018oh,Synthetic modeling with Monte Carlo radiative transfer,"['56Ni shell mass = 0.03 M⊙', 'shell width = 0.06 M⊙', 'extended 56Ni distribution']",,,dyn_505aa66012,light_curve_fits,arxiv_2007_02101v2_an_investigation_of_56_ni_shells_as_the_source_of_early_light_curve_bumps_in_typ.pdf,pdf_text,7,4.1. SN2018oh,results,7,7,"Fig. 6 shows a comparison between our models and observations of SN 2018oh. As demonstrated by Fig. 6, our fiducial model provides good agreement with the light curve beginning approximately one week after explosion, but is clearly significantly fainter than the observations at early times. Extending the 56Ni distribution of our fiducial model, such that 56Ni is present throughout the ejecta (see Fig. 2), does not reproduce the shape of the light curve and instead results in a broader light curve that passes through the early flux excess. Rather than a simple extended 56Ni distribution, Fig. 6 shows that models with 56Ni shells can broadly reproduce the light curve shape of SN 2018oh throughout its evolution to maximum light.",0.5,evidence text not found on recorded PDF page,
