supernova_name,redshift,peak_magnitude,filter_band,decay_rate,observation_telescope,host_galaxy_type,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
SN 2003du,,,,0.982,,,dyn_5f3f4c9860,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2003du 12765 . 95 ± 0. 14 0 . 982 ± 0. 021 17 . 71 ± 0. 35 1 . 64 ± 0. 44 (11 , 12, 13, 14)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2004eo,,,,1.403,,,dyn_101596b6b8,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2004eo 13278 . 65 ± 0. 14 1 . 403 ± 0. 037 16 . 64 ± 0. 44 3 . 86 ± 0. 53 (15 , 16)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2005cf,,,,1.068,,,dyn_4fd4b866d0,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,SN 2005cf 13533 . 78 ± 0. 14 1 . 068 ± 0. 021 16 . 62 ± 0. 25 1 . 35 ± 0. 36 (17),0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 1998aq,,,V,,,,dyn_4791fb6d28,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1998aq, for which the V -ﬁlter data that largely con-trol their times of explosion texpl were included.",0.9,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,0.06,,,,,,dyn_1582dea73e,light_curve_metrics,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7,4.6. Selection,experiments,7.0,7.0,"Below this redshift of 0.06, our sample is considered to be free from nonrandom selection functions for the normal SN Ia population (see Sect. 4.6). We refer to this sample as “volume limited” and it contains nearly 1000 normal SN Ia targets.",0.95,required dynamic field missing: supernova_name; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,0.07,,,,ZTF,,dyn_2d0dbcfb72,light_curve_metrics,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7,4.6. Selection,experiments,7.0,7.0,"We present our ZTF Hubble diagram for the 2629 non-peculiar SNe Ia that pass our quality cuts in Fig. 6. These SNe Ia have been standardized using the methodology detailed in Ginolin et al. (2024,a), given the SALT2 stretch and color parameter and host local environmental properties (e.g., Sullivan et al. 2010; Rigault et al. 2020). Following that paper, we have used α =−0.16, β = 3.05, and γ = 0.145 mag (local-color step). Before standardization, our SNe Ia have a natural scatter along the Hubble diagram of 0.33 mag, using the normalized median absolute deviation (nMAD) as a robust scatter estimator. The standard deviation (std) is 0.46 mag (nMAD = std for a normal distribution). This scatter reduces down to 0.165 mag after standardization (std: 0.209 mag), accounting for all 2629 of the ZTF DR2 non-peculiar SNe Ia.",0.95,required dynamic field missing: supernova_name; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,,,,,dyn_42685f0dcc,light_curve_metrics,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7,2. Models,method,7.0,7.0,A set of 37 SNe Ia parameterized explosion models has been considered which encompasses all currently discussed explosion scenarios (Table 1).,0.0,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
SN 2000cx,,,F675W,,HST,,dyn_3647e27e21,light_curve_metrics,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4,2. Observations and data analysis,method,4.0,4.0,"SN 2000cx was also observed with HST. A log of the HST observations is given in Table 7. We retrieved the data from the HST science archive, which delivers the fully reduced WFPC2 images. The photometry was performed using the HSTPhot package as described by Dolphin (2000). This software fits point-spread functions (PSF) to the detected objects, and also accounts for charge transfer efficiencies and aperture corrections. Following Li et al. (2002), we used option 10 to measure the supernova magnitudes. This option uses local sky determination and default aperture corrections. The magnitudes in the WFPC system and error estimates from HSTPhot for SN 2000cx are also given in Table 7.",0.9,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2000cx,,22.21,R,,HST,,dyn_4089012696,light_curve_metrics,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4,2. Observations and data analysis,method,4.0,4.0,"This gave an offset of 0.23 (Vega) mag, which converts our measured F675W magnitude to R = 22.21 mag, and similarly F814W to I = 21.68 mag.",0.95,required dynamic field missing: redshift; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2000cx,,21.68,I,,HST,,dyn_ef116e0bcd,light_curve_metrics,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4,2. Observations and data analysis,method,4.0,4.0,"This gave an offset of 0.23 (Vega) mag, which converts our measured F675W magnitude to R = 22.21 mag, and similarly F814W to I = 21.68 mag.",0.95,required dynamic field missing: redshift; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,ZTF-g (g),,Zwicky Transient Facility (ZTF) Schmidt telescope at Palomar Observatory,,dyn_d6d2050cca,light_curve_metrics,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,2. Dataset,data,3.0,3.0,"ZTF employs a 47 deg 2 camera installed on the 48 in (1 .2 m) Schmidt telescope at the Palomar Observatory to conduct a high-cadence survey of the northern transient sky. This camera is equipped with three filters, ZTF- g (g), ZTF- r (r), and ZTF- i",0.9,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,ZTF-r (r),,Zwicky Transient Facility (ZTF) Schmidt telescope at Palomar Observatory,,dyn_d616191d3e,light_curve_metrics,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,2. Dataset,data,3.0,3.0,"ZTF employs a 47 deg 2 camera installed on the 48 in (1 .2 m) Schmidt telescope at the Palomar Observatory to conduct a high-cadence survey of the northern transient sky. This camera is equipped with three filters, ZTF- g (g), ZTF- r (r), and ZTF- i",0.9,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,ZTF-i,,Zwicky Transient Facility (ZTF) Schmidt telescope at Palomar Observatory,,dyn_0ffdf0d76d,light_curve_metrics,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,2. Dataset,data,3.0,3.0,"ZTF employs a 47 deg 2 camera installed on the 48 in (1 .2 m) Schmidt telescope at the Palomar Observatory to conduct a high-cadence survey of the northern transient sky. This camera is equipped with three filters, ZTF- g (g), ZTF- r (r), and ZTF- i",0.9,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,"{'min': 0.02, 'max': 0.09}",,,,ZTF survey,,dyn_d2d8701b11,light_curve_metrics,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,2. Dataset,data,3.0,3.0,"The dataset comprises of 3628 Type Ia SNe in the redshift range 0.02 < z < 0.09. The dataset is spectroscopically complete up to z∼ 0.06 and has benefited from an exquisite photometric follow-up, using the ZTF survey (Bellm et al. 2019b) which aims to study the closeby dynamic Universe (Graham et al. 2019).",0.9,required dynamic field missing: supernova_name; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,JHKs,,PAIRITEL,,dyn_fa88ded7c4,light_curve_metrics,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,1,ABSTRACT,abstract,1.0,1.0,We apply this framework to the JHKs SN Ia light curve data.,0.9,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,,,,,dyn_d7250b9c26,light_curve_metrics,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,1,ABSTRACT,abstract,1.0,1.0,"The largest systematic uncertainty that limits the precision of rest-frame optical light curves is dust extinction in the host galaxy and the entanglement of dust reddening with the intrinsic color variations of SN (e.g., Conley et al. 2007).",0.0,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
SN 2011fe,,,,,,,dyn_4eee126213,light_curve_metrics,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,"SN 2011fe, n = 2 . 01 ± 0. 01 (Nugent et al. 2011);",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2010jn,,,,,,,dyn_72975a8453,light_curve_metrics,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,"SN 2010jn, n = 2. 3 ± 0. 6 (Hachinger et al. 2013);",0.9,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2013dy,,,,,,,dyn_f9c249b813,light_curve_metrics,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,"SN 2013dy, n = 2 . 24 ± 0. 08 (Zheng et al. 2013);",0.9,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2014J,,,,,,,dyn_80d14fbcd1,light_curve_metrics,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3.0,3.0,"SN 2014J, 2 . 94 ± 0. 20 (Zheng et al. 2014; Goobar et al. 2014).",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,-18.79,B-band,0.96,,,dyn_c1575dcc8e,light_curve_metrics,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7.0,7.0,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.) B-band −18.79 (0.76) 0.96 (0.12) 108,0.5,required dynamic field missing: supernova_name; required dynamic field missing: redshift; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review
,,-18.84,V-band,1.0,,,dyn_c12a6eb731,light_curve_metrics,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7.0,7.0,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.) V-band −18.84 (0.58) 1.00 (0.13) 108,0.5,required dynamic field missing: supernova_name; required dynamic field missing: redshift; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review
,,-18.93,R-band,1.0,,,dyn_25e3ebea35,light_curve_metrics,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7.0,7.0,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.) R-band −18.93 (0.53) 1.00 (0.13) 88,0.5,required dynamic field missing: supernova_name; required dynamic field missing: redshift; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review
,,-18.7,I-band,0.98,,,dyn_3668785d80,light_curve_metrics,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7.0,7.0,Table 4. Average absolute magnitudes (r.m.s.) and stretch factors (r.m.s.) I-band −18.70 (0.45) 0.98 (0.15) 102,0.5,required dynamic field missing: supernova_name; required dynamic field missing: redshift; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review
SN 2025bvm,,,B,0.867,COLIBRI,NGC4156,dyn_e011832a09,light_curve_metrics,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,3,3.1. LightCurvesandPhotometricParameters,results,3.0,3.0,"We find a value of ∆𝑚15(𝐵)=0.867±0.051 mag. This measurement and its covariance with the peak time and magnitude are illustrated in the corner plot in Figure 3. This value places SN 2025bvm firmly within the range of normal Type Ia supernovae (whose B-band range is between 0.7 and 1.7, according to Burns et al., 2014), confirming that SN 2025bvm is a normal Type Ia supernova belonging to the slow-declining subgroup.",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2018oh,,,,,WISeREP,,dyn_1efdd5239f,light_curve_metrics,arxiv_2007_02101v2_an_investigation_of_56_ni_shells_as_the_source_of_early_light_curve_bumps_in_typ.pdf,pdf_text,7,4.1. SN2018oh,results,7.0,7.0,The spectrum of SN 2018oh has been corrected for galactic extinction only (host reddening is estimated to be negligible; Li et al. 2019) and was obtained from WISeREP (Yaron & Gal-Yam 2012).,0.85,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2018oh,,,g,,Kepler,,dyn_b7f6b80242,light_curve_metrics,arxiv_2007_02101v2_an_investigation_of_56_ni_shells_as_the_source_of_early_light_curve_bumps_in_typ.pdf,pdf_text,7,4.1. SN2018oh,results,7.0,7.0,"Aside from the mass of the 56Ni shell, there is some tension between the g- (3 800 Å ≲ λ ≲ 5 400 Å) and Kepler- (4 200 Å ≲λ ≲ 9 000 Å) bands over the width of the shell that is required.",0.9,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,u,30.0,,,dyn_f2417f056e,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: u, HubbleFlowSNeIaa: 30, IRSBFCalibratorsb: 8",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,B,43.0,,,dyn_ed5b586246,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: B, HubbleFlowSNeIaa: 43, IRSBFCalibratorsb: 12",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,g,36.0,,,dyn_598157cd8b,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: g, HubbleFlowSNeIaa: 36, IRSBFCalibratorsb: 7",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,V,43.0,,,dyn_7342fd1b6b,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: V, HubbleFlowSNeIaa: 43, IRSBFCalibratorsb: 12",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,r,43.0,,,dyn_ab1bd37618,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: r, HubbleFlowSNeIaa: 43, IRSBFCalibratorsb: 10",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,i,42.0,,,dyn_78ce00bdd6,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: i, HubbleFlowSNeIaa: 42, IRSBFCalibratorsb: 10",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,Y,36.0,,,dyn_04b9087006,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: Y, HubbleFlowSNeIaa: 36, IRSBFCalibratorsb: 7",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,J,35.0,,,dyn_470e0822a7,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: J, HubbleFlowSNeIaa: 35, IRSBFCalibratorsb: 9",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,H,29.0,,,dyn_66c151bd74,light_curve_metrics,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: H, HubbleFlowSNeIaa: 29, IRSBFCalibratorsb: 9",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; record contains extraction warnings that require review,record contains extraction warnings that require review
TFSrtnjoi,,,r,,,,dyn_cb07d7ae7f,light_curve_metrics,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_table,6,,,,,"column_10: ""50
r""; column_1: ""T
F
1
t
s
r
t
u
n
t
j
o
i
r
n
(
i
a
c
r
n""",0.5,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review
,,,,,,,dyn_a905de4325,light_curve_metrics,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_table,6,,,,,No extractable scientific data found in the provided table content. The table contains fragmented text and non-numeric symbols without clear association to supernova light curve metrics.,0.0,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review; record confidence is below the review threshold; evidence text not found on recorded PDF page,record contains extraction warnings that require review; record confidence is below the review threshold
