source_id,title,provider,source_type,relevance_score,recommended_action,should_ingest,reason,estimated_download_size,estimated_cost,risk,url,query,doi,pdf_url,open_access_url,metadata
src_24fdf9e4,The Standardizability of Type Ia Supernovae in the Near-Infrared: Evidence for a Peak Luminosity-Decline Rate Relation in the Near-Infrared,arxiv,paper,0.72,read_metadata,False,研究近红外波段的标准化问题，发现J/H波段存在显著的峰值亮度-衰减率关系，为提升Ia型超新星作为标准烛光的精度提供关键证据，直接支持用户对衰减率与峰值星等关系的分析需求。 Deferred by automatic resource cap: max_auto_resources=20.,,medium,low,http://arxiv.org/abs/1201.2913v2,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/1201.2913v2,,"{""url"": ""http://arxiv.org/abs/1201.2913v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/1201.2913v2"", ""open_access_url"": null, ""selection_decision"": ""deep_read"", ""selection_priority"": ""high"", ""selection_role"": ""primary_paper"", ""selection_reason"": ""研究近红外波段的标准化问题，发现J/H波段存在显著的峰值亮度-衰减率关系，为提升Ia型超新星作为标准烛光的精度提供关键证据，直接支持用户对衰减率与峰值星等关系的分析需求。"", ""selection_matched_requirements"": [""peak_magnitude"", ""decay_rate"", ""filter_band"", ""observation_telescope""], ""selection_expected_extractable_fields"": [""supernova_name"", ""redshift"", ""peak_magnitude"", ""filter_band"", ""decay_rate"", ""observation_telescope""], ""selection_risk_notes"": [], ""resource_cap_deferred"": true, ""resource_cap"": 20, ""original_recommended_action"": ""download_pdf""}"
src_aa5dc52a,CfA3: 185 Type Ia Supernova Light Curves from the CfA,arxiv,paper,0.72,read_metadata,False,CfA3是迄今最完整的本地Ia型超新星样本之一，提供了185个事件的同质化多波段测光数据，包含精确的峰值星等与衰减率测量，是构建高质量数据集的理想基础。 Deferred by automatic resource cap: max_auto_resources=20.,,medium,low,http://arxiv.org/abs/0901.4787v5,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/0901.4787v5,,"{""url"": ""http://arxiv.org/abs/0901.4787v5"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/0901.4787v5"", ""open_access_url"": null, ""selection_decision"": ""deep_read"", ""selection_priority"": ""high"", ""selection_role"": ""primary_paper"", ""selection_reason"": ""CfA3是迄今最完整的本地Ia型超新星样本之一，提供了185个事件的同质化多波段测光数据，包含精确的峰值星等与衰减率测量，是构建高质量数据集的理想基础。"", ""selection_matched_requirements"": [""peak_magnitude"", ""decay_rate"", ""filter_band"", ""observation_telescope"", ""host_galaxy_type""], ""selection_expected_extractable_fields"": [""supernova_name"", ""redshift"", ""peak_magnitude"", ""filter_band"", ""decay_rate"", ""observation_telescope"", ""host_galaxy_type""], ""selection_risk_notes"": [], ""resource_cap_deferred"": true, ""resource_cap"": 20, ""original_recommended_action"": ""download_pdf""}"
src_ee5d7637,Pre-nebular light curves of type I supernovae,arxiv,paper,0.72,read_metadata,False,讨论早期光变曲线，但未提供具体数值或可提取参数，仅具理论参考价值。,,unknown,low,http://arxiv.org/abs/1611.08746v2,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/1611.08746v2,,"{""url"": ""http://arxiv.org/abs/1611.08746v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/1611.08746v2"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""medium"", ""selection_role"": ""supporting_paper"", ""selection_reason"": ""讨论早期光变曲线，但未提供具体数值或可提取参数，仅具理论参考价值。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_c83a3bfc,Testing Cosmic Acceleration with Type Ia Supernovae,arxiv,paper,0.0,skip,False,LLM Source Selector did not choose this source for ingestion or metadata reading.,,unknown,low,http://arxiv.org/abs/astro-ph/0101521v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/0101521v1,,"{""url"": ""http://arxiv.org/abs/astro-ph/0101521v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/0101521v1"", ""open_access_url"": null, ""selection_decision"": ""omitted""}"
src_c6cff854,Time Dilation in the Light Curve of the Distant Type Ia Supernovae SN 1995K,arxiv,paper,0.72,read_metadata,False,首次通过时间膨胀验证宇宙膨胀，是历史里程碑，但内容与当前研究目标关联较弱，仅作元数据引用。,,unknown,low,http://arxiv.org/abs/astro-ph/9605134v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/9605134v1,,"{""url"": ""http://arxiv.org/abs/astro-ph/9605134v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/9605134v1"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""medium"", ""selection_role"": ""supporting_paper"", ""selection_reason"": ""首次通过时间膨胀验证宇宙膨胀，是历史里程碑，但内容与当前研究目标关联较弱，仅作元数据引用。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_bc438778,Probing type Ia supernova properties using bolometric light curves from the Carnegie Supernova Project and the CfA Supernova Group,arxiv,paper,0.0,skip,False,LLM Source Selector did not choose this source for ingestion or metadata reading.,,unknown,low,http://arxiv.org/abs/1811.08969v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/1811.08969v1,,"{""url"": ""http://arxiv.org/abs/1811.08969v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/1811.08969v1"", ""open_access_url"": null, ""selection_decision"": ""omitted""}"
src_b4e66d15,Topological Control of Chirality and Spin with Structured Light,arxiv,paper,0.72,skip,False,主题为结构光操控，与Ia型超新星完全无关，属于严重误匹配。,,unknown,low,http://arxiv.org/abs/2508.08733v3,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/2508.08733v3,,"{""url"": ""http://arxiv.org/abs/2508.08733v3"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/2508.08733v3"", ""open_access_url"": null, ""selection_decision"": ""reject"", ""selection_priority"": ""low"", ""selection_role"": ""noise"", ""selection_reason"": ""主题为结构光操控，与Ia型超新星完全无关，属于严重误匹配。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": [""完全无关""]}"
src_4e5fdd67,The light curves of type Ia Supernova 2004fu,arxiv,paper,0.72,read_metadata,False,仅提及SN 2004fu的典型光变曲线，未提供具体数值或可提取数据。,,unknown,low,http://arxiv.org/abs/astro-ph/0606051v2,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/0606051v2,,"{""url"": ""http://arxiv.org/abs/astro-ph/0606051v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/0606051v2"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""noise"", ""selection_reason"": ""仅提及SN 2004fu的典型光变曲线，未提供具体数值或可提取数据。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_f44a6743,"Type Ia Supernova Progenitors, Environmental Effects, and Cosmic Supernova Rates",arxiv,paper,0.72,read_metadata,False,讨论单简并模型与环境效应，但未提供可提取的光变曲线参数。,,unknown,low,http://arxiv.org/abs/astro-ph/9907386v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/9907386v1,,"{""url"": ""http://arxiv.org/abs/astro-ph/9907386v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/9907386v1"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""noise"", ""selection_reason"": ""讨论单简并模型与环境效应，但未提供可提取的光变曲线参数。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_7d71d101,UBVRI Light Curves of 44 Type Ia Supernovae,arxiv,paper,0.72,read_metadata,False,U-band光度数据虽独特，但未提供具体数值或可提取表格，仅作补充说明。,,unknown,low,http://arxiv.org/abs/astro-ph/0509234v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/0509234v1,,"{""url"": ""http://arxiv.org/abs/astro-ph/0509234v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/0509234v1"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""noise"", ""selection_reason"": ""U-band光度数据虽独特，但未提供具体数值或可提取表格，仅作补充说明。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_3c6bf7f2,Light Curve Models for SN 2009dc,arxiv,paper,0.72,read_metadata,False,针对超亮Ia型超新星SN 2009dc的模型研究，虽涉及大质量前身星，但样本单一，不具普遍代表性。,,unknown,low,http://arxiv.org/abs/1302.3375v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/1302.3375v1,,"{""url"": ""http://arxiv.org/abs/1302.3375v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/1302.3375v1"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""medium"", ""selection_role"": ""supporting_paper"", ""selection_reason"": ""针对超亮Ia型超新星SN 2009dc的模型研究，虽涉及大质量前身星，但样本单一，不具普遍代表性。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_35b7165b,"An Empirical Fitting Method to Type Ia Supernova Light Curves. III. A Three-Parameter Relationship: Peak Magnitude, Rise Time, and Photospheric Velocity",arxiv,paper,0.72,read_metadata,False,提出基于上升时间、峰值速度与峰值星等的三参数关系模型，为理解光变曲线形状与物理起源之间的联系提供了新的物理解释框架。 Deferred by automatic resource cap: max_auto_resources=20.,,medium,low,http://arxiv.org/abs/1712.01495v2,Ia supernova light curve peak magnitude decline rate,10.3847/1538-4357/aabaeb,https://arxiv.org/pdf/1712.01495v2,,"{""url"": ""http://arxiv.org/abs/1712.01495v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": ""10.3847/1538-4357/aabaeb"", ""pdf_url"": ""https://arxiv.org/pdf/1712.01495v2"", ""open_access_url"": null, ""selection_decision"": ""deep_read"", ""selection_priority"": ""high"", ""selection_role"": ""primary_paper"", ""selection_reason"": ""提出基于上升时间、峰值速度与峰值星等的三参数关系模型，为理解光变曲线形状与物理起源之间的联系提供了新的物理解释框架。"", ""selection_matched_requirements"": [""peak_magnitude"", ""decay_rate"", ""observation_telescope"", ""host_galaxy_type""], ""selection_expected_extractable_fields"": [""supernova_name"", ""redshift"", ""peak_magnitude"", ""filter_band"", ""decay_rate"", ""observation_telescope"", ""host_galaxy_type""], ""selection_risk_notes"": [], ""resource_cap_deferred"": true, ""resource_cap"": 20, ""original_recommended_action"": ""download_pdf""}"
src_a2eee53c,Multi-Color Light Curves of Type Ia Supernovae on the Color-Magnitude Diagram: a Novel Step Toward More Precise Distance and Extinction Estimates,arxiv,paper,0.72,read_metadata,False,首次系统性地提出并验证了“颜色-星等关系”在光变曲线中的线性特性，可提供更精确的距离估计，是改进现有光变曲线拟合方法的重要依据。 Deferred by automatic resource cap: max_auto_resources=20.,,medium,low,http://arxiv.org/abs/astro-ph/0302341v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/0302341v1,,"{""url"": ""http://arxiv.org/abs/astro-ph/0302341v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/0302341v1"", ""open_access_url"": null, ""selection_decision"": ""deep_read"", ""selection_priority"": ""high"", ""selection_role"": ""primary_paper"", ""selection_reason"": ""首次系统性地提出并验证了“颜色-星等关系”在光变曲线中的线性特性，可提供更精确的距离估计，是改进现有光变曲线拟合方法的重要依据。"", ""selection_matched_requirements"": [""peak_magnitude"", ""decay_rate"", ""filter_band"", ""observation_telescope""], ""selection_expected_extractable_fields"": [""supernova_name"", ""redshift"", ""peak_magnitude"", ""filter_band"", ""decay_rate"", ""observation_telescope""], ""selection_risk_notes"": [], ""resource_cap_deferred"": true, ""resource_cap"": 20, ""original_recommended_action"": ""download_pdf""}"
src_7ad95e90,"Type Ia Supernovae, the Hubble Constant, the Cosmological Constant, and the Age of the Universe",arxiv,paper,0.72,read_metadata,False,早期关于宇宙学常数的开创性论文，虽重要但其核心结论已被后续研究深化，仅作为背景文献保留，无需全文解析。,,unknown,low,http://arxiv.org/abs/astro-ph/0105413v2,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/0105413v2,,"{""url"": ""http://arxiv.org/abs/astro-ph/0105413v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/0105413v2"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""medium"", ""selection_role"": ""supporting_paper"", ""selection_reason"": ""早期关于宇宙学常数的开创性论文，虽重要但其核心结论已被后续研究深化，仅作为背景文献保留，无需全文解析。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_a215a02f,"A COLIBRI Photometric Study of SN 2025bvm: A Normal, Slowly Declining Type Ia Supernova",arxiv,paper,0.72,read_metadata,False,最新发表的2026年论文，详细报告了SN 2025bvm的多波段光变曲线，包括Δm15(B)=0.867±0.051和M_B=-19.13±0.40 mag，是当前最前沿的实证研究。 Deferred by automatic resource cap: max_auto_resources=20.,,medium,low,http://arxiv.org/abs/2601.07745v2,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/2601.07745v2,,"{""url"": ""http://arxiv.org/abs/2601.07745v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/2601.07745v2"", ""open_access_url"": null, ""selection_decision"": ""deep_read"", ""selection_priority"": ""high"", ""selection_role"": ""primary_paper"", ""selection_reason"": ""最新发表的2026年论文，详细报告了SN 2025bvm的多波段光变曲线，包括Δm15(B)=0.867±0.051和M_B=-19.13±0.40 mag，是当前最前沿的实证研究。"", ""selection_matched_requirements"": [""peak_magnitude"", ""decay_rate"", ""filter_band"", ""observation_telescope"", ""host_galaxy_type"", ""redshift""], ""selection_expected_extractable_fields"": [""supernova_name"", ""redshift"", ""peak_magnitude"", ""filter_band"", ""decay_rate"", ""observation_telescope"", ""host_galaxy_type""], ""selection_risk_notes"": [], ""resource_cap_deferred"": true, ""resource_cap"": 20, ""original_recommended_action"": ""download_pdf""}"
src_625cfc78,BVRI Light Curves for 29 Type Ia Supernovae,arxiv,paper,0.0,skip,False,LLM Source Selector did not choose this source for ingestion or metadata reading.,,unknown,low,http://arxiv.org/abs/astro-ph/9609064v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/9609064v1,,"{""url"": ""http://arxiv.org/abs/astro-ph/9609064v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/9609064v1"", ""open_access_url"": null, ""selection_decision"": ""omitted""}"
src_75369804,Epochs of Maximum Light and Bolometric Light Curves of Type Ia Supernovae,arxiv,paper,0.72,read_metadata,False,讨论光变曲线平台期，但未提供具体数值或可提取参数。,,unknown,low,http://arxiv.org/abs/astro-ph/0005507v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/0005507v1,,"{""url"": ""http://arxiv.org/abs/astro-ph/0005507v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/0005507v1"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""noise"", ""selection_reason"": ""讨论光变曲线平台期，但未提供具体数值或可提取参数。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_27cfb7e4,"The fast declining Type Ia supernova 2003gs, and evidence for a significant dispersion in near-infrared absolute magnitudes of fast decliners at maximum light",arxiv,paper,0.72,read_metadata,False,研究快速衰减型Ia型超新星，虽揭示了近红外亮度的双峰分布，但样本量小，结论局部，仅作补充参考。,,unknown,low,http://arxiv.org/abs/0908.1918v2,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/0908.1918v2,,"{""url"": ""http://arxiv.org/abs/0908.1918v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/0908.1918v2"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""medium"", ""selection_role"": ""supporting_paper"", ""selection_reason"": ""研究快速衰减型Ia型超新星，虽揭示了近红外亮度的双峰分布，但样本量小，结论局部，仅作补充参考。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_db757310,The absolute infrared magnitudes of type Ia supernovae,arxiv,paper,0.72,read_metadata,False,早期关于近红外绝对星等的研究，虽指出IR波段散射小，但未提供具体数值，仅作背景支撑。,,unknown,low,http://arxiv.org/abs/astro-ph/9912123v2,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/9912123v2,,"{""url"": ""http://arxiv.org/abs/astro-ph/9912123v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/9912123v2"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""medium"", ""selection_role"": ""supporting_paper"", ""selection_reason"": ""早期关于近红外绝对星等的研究，虽指出IR波段散射小，但未提供具体数值，仅作背景支撑。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_e94ddd7b,Constraining the Properties of SNe~Ia Progenitors from Light Curves,arxiv,paper,0.72,read_metadata,False,提出利用主成分分析重建前身星属性，但未公开完整数据，仅作为方法论参考。,,unknown,low,http://arxiv.org/abs/1109.3629v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/1109.3629v1,,"{""url"": ""http://arxiv.org/abs/1109.3629v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/1109.3629v1"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""medium"", ""selection_role"": ""supporting_paper"", ""selection_reason"": ""提出利用主成分分析重建前身星属性，但未公开完整数据，仅作为方法论参考。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
