index,connector,query,status,added,error,metadata
38,openalex,type Ia supernova light curve template stretch parameter,completed,52,,"{""cache_hit"": false, ""attempts"": 1}"
39,zenodo,ZTF SN Ia DR2 photometry light curve data,completed,18,,"{""cache_hit"": false, ""attempts"": 1}"
40,figshare,Type Ia supernova light curve data release PAIRITEL CSP CfA3,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
41,github,type Ia supernova light curve analysis code python,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
42,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,100,,"{""cache_hit"": false, ""attempts"": 1}"
43,openalex,Type Ia supernova light curve peak magnitude decline rate,completed,99,,"{""cache_hit"": false, ""attempts"": 1}"
44,semantic_scholar,Ia supernova photometry light curve shape correlation,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+photometry+light+curve+shape+correlation&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 23.0s","{""attempts"": 2, ""retry_round"": 1}"
45,crossref,Type Ia supernova peak luminosity decline rate relation,completed,85,,"{""cache_hit"": false, ""attempts"": 1}"
46,zenodo,Type Ia supernova light curve data set,completed,24,,"{""cache_hit"": false, ""attempts"": 1}"
47,figshare,Ia supernova multicolor light curve tables,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
48,github,Ia supernova light curve analysis code,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
49,arxiv,Type Ia supernova light curve peak magnitude decline rate correlation,completed,5,,"{""cache_hit"": false, ""attempts"": 1}"
50,arxiv,Ia supernova progenitor models ejecta mass nickel-56 distribution,completed,80,,"{""cache_hit"": false, ""attempts"": 1}"
51,arxiv,Ia supernova early rise time bolometric light curve shape,completed,40,,"{""cache_hit"": false, ""attempts"": 1}"
52,openalex,Type Ia supernova light curve diversity host galaxy environment,completed,87,,"{""cache_hit"": false, ""attempts"": 1}"
53,zenodo,Open Supernova Catalog Type Ia light curves,completed,7,,"{""cache_hit"": false, ""attempts"": 1}"
54,figshare,Type Ia supernova light curve parameters table,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
55,github,type-ia-supernova-light-curve-analysis code,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
56,arxiv,Type Ia supernova light curve peak magnitude decline rate host galaxy environment,completed,44,,"{""cache_hit"": false, ""attempts"": 1}"
57,openalex,Type Ia supernova light curve shape diversity correlation with progenitor model,completed,47,,"{""cache_hit"": false, ""attempts"": 1}"
58,semantic_scholar,Type Ia supernova rise time correlation with decline rate and stretch factor,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Type+Ia+supernova+rise+time+correlation+with+decline+rate+and+stretch+factor&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 23.0s","{""attempts"": 2, ""retry_round"": 1}"
59,zenodo,Type Ia supernova photometry light curve data release ZTF SN Ia DR2,completed,14,,"{""cache_hit"": false, ""attempts"": 1}"
60,figshare,Type Ia supernova light curve parameters table peak magnitude decline rate,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
61,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,100,,"{""cache_hit"": false, ""attempts"": 1}"
62,openalex,Type Ia supernova light curve peak magnitude decline rate,completed,99,,"{""cache_hit"": false, ""attempts"": 1}"
63,semantic_scholar,Type Ia supernova light curve peak magnitude decline rate,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Type+Ia+supernova+light+curve+peak+magnitude+decline+rate&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 34.7s","{""attempts"": 2, ""retry_round"": 1}"
64,crossref,Type Ia supernova light curve peak magnitude decline rate,completed,37,,"{""cache_hit"": false, ""attempts"": 1}"
65,zenodo,Type Ia supernova light curve data,completed,24,,"{""cache_hit"": false, ""attempts"": 1}"
66,figshare,Type Ia supernova light curve supplementary material,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
67,github,Type Ia supernova light curve analysis,completed,1,,"{""cache_hit"": false, ""attempts"": 1}"
68,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
69,openalex,Type Ia supernova light curve shape and brightness correlation,completed,46,,"{""cache_hit"": false, ""attempts"": 1}"
70,semantic_scholar,Ia supernova bolometric light curve modeling and nickel distribution,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+bolometric+light+curve+modeling+and+nickel+distribution&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 34.7s","{""attempts"": 2, ""retry_round"": 1}"
71,crossref,Type Ia supernova light curve decline rate and peak luminosity relation,completed,45,,"{""cache_hit"": false, ""attempts"": 1}"
72,zenodo,Open Supernova Catalog Type Ia light curves,completed,7,,"{""cache_hit"": false, ""attempts"": 1}"
73,figshare,Type Ia supernova light curve parameters table,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
74,github,Type Ia supernova light curve analysis code,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
75,arxiv,Type Ia supernova light curve peak magnitude decline rate diversity,completed,6,,"{""cache_hit"": false, ""attempts"": 1}"
76,openalex,Type Ia supernova light curve template comparison,completed,30,,"{""cache_hit"": false, ""attempts"": 1}"
77,zenodo,Type Ia supernova light curve data release DR2 ZTF,completed,12,,"{""cache_hit"": false, ""attempts"": 1}"
78,figshare,Open Supernova Catalog light curve data Type Ia,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
79,github,type-ia-supernova-light-curve-analysis code,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
80,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,100,,"{""cache_hit"": false, ""attempts"": 1}"
81,openalex,Type Ia supernova light curve peak magnitude decline rate,completed,99,,"{""cache_hit"": false, ""attempts"": 1}"
82,semantic_scholar,Ia supernova photometry peak brightness decline rate,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+photometry+peak+brightness+decline+rate&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 20.7s","{""attempts"": 2, ""retry_round"": 1}"
83,crossref,10.1086/513732,completed,10,,"{""cache_hit"": false, ""attempts"": 1}"
84,zenodo,Type Ia supernova light curve data,completed,24,,"{""cache_hit"": false, ""attempts"": 1}"
85,figshare,Type Ia supernova supplementary data,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
86,github,ia-supernova-lightcurve analysis,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
87,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
88,arxiv,progenitor model Type Ia supernova white dwarf merger double degenerate,completed,84,,"{""cache_hit"": false, ""attempts"": 1}"
89,openalex,Type Ia supernova light curve diversity and standardization,completed,94,,"{""cache_hit"": false, ""attempts"": 1}"
90,semantic_scholar,nickel-56 distribution in Type Ia supernovae ejecta,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=nickel-56+distribution+in+Type+Ia+supernovae+ejecta&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 20.7s","{""attempts"": 2, ""retry_round"": 1}"
91,zenodo,Open Supernova Catalog Type Ia light curves,completed,7,,"{""cache_hit"": false, ""attempts"": 1}"
92,figshare,Type Ia supernova bolometric light curve tables,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
93,github,Type Ia supernova light curve modeling code,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
94,arxiv,Type Ia supernova light curve peak magnitude decline rate progenitor model,completed,23,,"{""cache_hit"": false, ""attempts"": 1}"
95,openalex,Type Ia supernova light curve diversity and progenitor constraints,completed,57,,"{""cache_hit"": false, ""attempts"": 1}"
96,semantic_scholar,Ia supernova rise time correlation with decline rate and progenitor,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+rise+time+correlation+with+decline+rate+and+progenitor&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 20.7s","{""attempts"": 2, ""retry_round"": 1}"
97,zenodo,ZTF SN Ia DR2 light curve data host galaxy properties,completed,20,,"{""cache_hit"": false, ""attempts"": 1}"
98,figshare,Type Ia supernova light curve parameters table,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
99,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,100,,"{""cache_hit"": false, ""attempts"": 1}"
100,arxiv,Ia supernova progenitor model explosion mechanism,completed,80,,"{""cache_hit"": false, ""attempts"": 1}"
101,openalex,Type Ia supernova light curve peak magnitude decline rate,completed,99,,"{""cache_hit"": false, ""attempts"": 1}"
102,zenodo,Type Ia supernova light curve data,completed,24,,"{""cache_hit"": false, ""attempts"": 1}"
103,github,Ia supernova light curve analysis code,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
104,arxiv,Type Ia supernova light curve peak magnitude decline rate progenitor model,completed,13,,"{""cache_hit"": false, ""attempts"": 1}"
105,openalex,Type Ia supernova light curve peak brightness decline rate origin,completed,62,,"{""cache_hit"": false, ""attempts"": 1}"
106,semantic_scholar,Ia supernova bolometric light curve nickel distribution explosion mechanism,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+bolometric+light+curve+nickel+distribution+explosion+mechanism&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 53.3s","{""attempts"": 2, ""retry_round"": 1}"
107,crossref,10.1086/317060 OR 10.3847/1538-4357/ad1b5a OR 10.1086/317060,completed,9,,"{""cache_hit"": false, ""attempts"": 1}"
108,zenodo,Type Ia supernova light curve data Open Supernova Catalog,completed,4,,"{""cache_hit"": false, ""attempts"": 1}"
109,openalex,Type Ia supernova light curve AND (peak magnitude OR decline rate) AND (progenitor OR origin),completed,40,,"{""cache_hit"": false, ""attempts"": 1}"
110,semantic_scholar,Ia supernova light curve stretch and decline rate correlation with progenitor,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+light+curve+stretch+and+decline+rate+correlation+with+progenitor&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 53.3s","{""attempts"": 2, ""retry_round"": 1}"
111,zenodo,ZTF SN Ia DR2 light curves photometry host galaxy properties,completed,23,,"{""cache_hit"": false, ""attempts"": 1}"
112,figshare,Type Ia supernova light curve templates multiband stretch method,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
