title,authors,publication_date,venue,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons,supernova_name,redshift,peak_magnitude,filter_band,decay_rate,observation_telescope,host_galaxy_type,fit_method,fit_parameters,residual_std_dev,chi_squared,progenitor_model,paper_title,material,method,metric_value,unit,condition,metric_name,source_1,value_1,source_2,value_2,discrepancy_reason
Nearby Supernova Factory Observations of SN 2005gj: Another Type Ia Supernova in a Massive Circumstellar Envelope,"['The Nearby Supernova Factory Collaboration', 'G. Aldering', 'P. Antilogus', 'S. Bailey', 'C. Baltay', 'A. Bauer', 'N. Blanc', 'S. Bongard', 'Y. Copin', 'E. Gangler', 'S. Gilles', 'R. Kessler', 'D. Kocevski', 'B. C. Lee', 'S. Loken', 'P. Nugent', 'R. Pain', 'E. Pecontal', 'R. Pereira', 'S. Perlmutter', 'D. Rabinowitz', 'G. Rigaudier', 'R. Scalzo', 'G. Smadja', 'R. C. Thomas', 'L. Wang', 'B. A. Weaver']",2006-06-20,arXiv:0606499v1,dyn_c175fadb01,paper_metadata,arxiv_0606499v1_nearby_supernova_factory_observations_of_sn_2005gj_another_type_ia_supernova_in_.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0606499v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Light curves of five type Ia supernovae at intermediate redshift,"['R. Amanullah', 'V. Stanishev', 'A. Goobar', 'K. Schahmaneche', 'P. Astier', 'C. Balland', 'R. S. Ellis', 'S. Fabbro', 'D. Hardin', 'I. M. Hook', 'M. J. Irwin', 'R. G. McMahon', 'J. M. Mendez', 'M. Mouchet', 'R. Pain', 'P. Ruiz-Lapuente', 'N. A. Walton']",2007-11-09,arXiv:0711.1375v2,dyn_b7f4cabe9b,paper_metadata,arxiv_0711_1375v2_light_curves_of_five_type_ia_supernovae_at_intermediate_redshift.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/0711.1375v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
"A Physical Model for SN 2001ay, a normal, bright, extremely slowly declining Type Ia supernova","['E. Baron', 'P. Hoeflich', 'K. Krisciunas', 'I. Dominguez', 'A. M. Khokhlov', 'M. M. Phillips', 'N. Suntzeff', 'L. Wang']",2012-05-03,arXiv:1205.0814v1,dyn_83bf66a61d,paper_metadata,arxiv_1205_0814v1_a_physical_model_for_sn_2001ay_a_normal_bright_extremely_slowly_declining_type_i.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1205.0814v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Late Light Curves of Normally-Luminous Type Ia Supernovae,"['J. C. Lair', 'M. D. Leising', 'P. A. Milne', 'G. G. Williams']",2006-01-05,arXiv:0601088v1,dyn_0224834ebe,paper_metadata,arxiv_0601088v1_late_light_curves_of_normally_luminous_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0601088v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
A year-long plateau in the late-time near-infrared light curves of Type Ia supernovae,"['Or Graur', 'Kate Maguire', 'Russell Ryan', 'Matt Nicholl', 'Arturo Avelino', 'Adam G. Riess', 'Luke Shingles', 'Ivo R. Seitenzahl', 'Robert Fisher']",2019-10-08,arXiv:1910.03614v1,dyn_1960f68588,paper_metadata,arxiv_1910_03614v1_a_year_long_plateau_in_the_late_time_near_infrared_light_curves_of_type_ia_super.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1910.03614v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Type Ia supernova bolometric light curves and ejected mass estimates from the Nearby Supernova Factory,"['R. Scalzo', 'G. Aldering', 'P. Antilogus', 'C. Aragon', 'S. Bailey', 'C. Baltay', 'S. Bongard', 'C. Buton', 'F. Cellier-Holzem', 'M. Childress', 'N. Chotard', 'Y. Copin', 'H. K. Fakhouri', 'E. Gangler', 'J. Guy', 'A. Kim', 'M. Kowalski', 'M. Kromer', 'J. Nordin', 'P. Nugent', 'K. Paech', 'R. Pain', 'E. Pecontal', 'R. Pereira', 'S. Perlmutter', 'D. Rabinowitz', 'M. Rigault', 'K. Runge', 'C. Saunders', 'S. A. Sim', 'G. Smadja', 'C. Tao', 'S. Taubenberger', 'R. C. Thomas', 'B. A. Weaver']",2014-02-27,arXiv:1402.6842v1,dyn_912df6df05,paper_metadata,arxiv_1402_6842v1_type_ia_supernova_bolometric_light_curves_and_ejected_mass_estimates_from_the_ne.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1402.6842v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The light curves of type Ia Supernova 2008gy,"['D. Yu. Tsvetkov', 'P. Balanutsa', 'E. S. Gorbovskoy', 'D. A. Kuvshinov', 'A. V. Krylov', 'T. Kopytova', 'T. Kryachko', 'S. Korotkiy']",2010-04-29,arXiv:1004.5200v1,dyn_a87c9f174a,paper_metadata,arxiv_1004_5200v1_the_light_curves_of_type_ia_supernova_2008gy.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1004.5200v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Nearby Supernova Factory Observations of SN 2006D: On Sporadic Carbon Signatures in Early Type Ia Supernova Spectra,"['The Nearby Supernova Factory', ':', 'R. C. Thomas', 'G. Aldering', 'P. Antilogus', 'C. Aragon', 'S. Bailey', 'C. Baltay', 'E. Baron', 'A. Bauer', 'C. Buton', 'S. Bongard', 'Y. Copin', 'E. Gangler', 'S. Gilles', 'R. Kessler', 'S. Loken', 'P. Nugent', 'R. Pain', 'J. Parrent', 'E. Pecontal', 'R. Pereira', 'S. Perlmutter', 'D. Rabinowitz', 'G. Rigaudier', 'K. Runge', 'R. Scalzo', 'G. Smadja', 'L. Wang', 'B. A. Weaver']",2006-11-10,arXiv:0611356v1,dyn_ab3ef21c7b,paper_metadata,arxiv_0611356v1_nearby_supernova_factory_observations_of_sn_2006d_on_sporadic_carbon_signatures_.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0611356v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie Supernova Project: Fast-Declining Type Ia Supernovae as Cosmological Distance Indicators,"['M. M. Phillips', 'Syed A. Uddin', 'Christopher R. Burns', 'Nicholas B. Suntzeff', 'C. Ashall', 'E. Baron', 'L. Galbany', 'P. Hoeflich', 'E. Y. Hsiao', 'Nidia Morrell', 'S. E. Persson', 'Maximilian Stritzinger', 'Carlos Contreras', 'Wendy L. Freedman', 'Kevin Krisciunas', 'S. Kumar', 'J. Lu', 'Anthony L. Piro', 'M. Shahbandeh']",2025-09-08,arXiv:2509.07093v3,dyn_34f99929e6,paper_metadata,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2509.07093v3,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The Rise Times and Bolometric Light Curve of SN 1994D: Constraints on Models of Type Ia Supernovae,"['William D. Vacca', 'Bruno Leibundgut']",1996-08-28,arXiv:9608181v1,dyn_2287617a15,paper_metadata,arxiv_9608181v1_the_rise_times_and_bolometric_light_curve_of_sn_1994d_constraints_on_models_of_t.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9608181v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The Progenitors of Type Ia Supernovae,['M. Livio'],1999-03-17,arXiv:9903264v1,dyn_4423c73099,paper_metadata,arxiv_9903264v1_the_progenitors_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9903264v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The Rising Light Curves of Type Ia Supernovae,"['R. E. Firth', 'M. Sullivan', 'A. Gal-Yam', 'D. A. Howell', 'K. Maguire', 'P. Nugent', 'A. L. Piro', 'C. Baltay', 'U. Feindt', 'E. Hadjiyksta', 'R. McKinnon', 'E. Ofek', 'D. Rabinowitz', 'E. S. Walker']",2014-11-04,arXiv:1411.1064v1,dyn_61acd490dc,paper_metadata,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1411.1064v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"['Chang Bi', 'Tyrone E. Woods', 'Sébastien Fabbro']",2024-01-11,arXiv:2401.06087v1,dyn_2582d223e0,paper_metadata,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2401.06087v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Type Ia Supernova Light Curve Inference: Hierarchical Bayesian Analysis in the Near Infrared,"['Kaisey S. Mandel', 'W. Michael Wood-Vasey', 'Andrew S. Friedman', 'Robert P. Kirshner']",2009-08-04,arXiv:0908.0536v3,dyn_65404deb72,paper_metadata,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/0908.0536v3,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Two classes of fast-declining type Ia supernovae,"['S. Dhawan', 'B. Leibundgut', 'J. Spyromilio', 'S. Blondin']",2017-02-20,arXiv:1702.06585v1,dyn_5760eecbc8,paper_metadata,arxiv_1702_06585v1_two_classes_of_fast_declining_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1702.06585v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The late-time light curve of the Type Ia supernova 2000cx,"['Jesper Sollerman', 'Jan Lindahl', 'Cecilia Kozma', 'Peter Challis', 'Alexei V. Filippenko', 'Claes Fransson', 'Peter M. Garnavich', 'Bruno Leibundgut', 'Weidong Li', 'Peter Lundqvist', 'Peter Milne', 'Jason Spyromilio', 'Robert P. Kirshner']",2004-09-14,arXiv:0409338v1,dyn_efcfeaf97e,paper_metadata,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0409338v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Brightness and Post-Maximum Decline of Light Curves of SN~Ia: A Comparison of Theory and Observations,"['P. Höflich', 'A. Khokhlov', 'J. C. Wheeler', 'M. Hamuy', 'M. M. Phillips', 'N. B. Suntzeff']",1996-09-09,arXiv:9609070v1,dyn_43705d6df6,paper_metadata,arxiv_9609070v1_maximum_brightness_and_post_maximum_decline_of_light_curves_of_sn_ia_a_compariso.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9609070v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Near-infrared light curves of Type Ia supernovae: Studying the properties of the second maximum,"['S. Dhawan', 'B. Leibundgut', 'J. Spyromilio', 'K. Maguire']",2015-02-02,arXiv:1502.00568v1,dyn_faf7933545,paper_metadata,arxiv_1502_00568v1_near_infrared_light_curves_of_type_ia_supernovae_studying_the_properties_of_the_.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1502.00568v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Properties of Type-Ia Supernova Light Curves,['Tuguldur Sukhbold'],2018-05-09,arXiv:1805.03712v2,dyn_a1d9a46be8,paper_metadata,arxiv_1805_03712v2_properties_of_type_ia_supernova_light_curves.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1805.03712v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The Most Slowly Declining Type Ia Supernova 2001ay,"['Kevin Krisciunas', 'Weidong Li', 'Thomas Matheson', 'D. Andrew Howell', 'Maximilian Stritzinger', 'Greg Aldering', 'Perry L. Berlind', 'M. Calkins', 'Peter Challis', 'Ryan Chornock', 'Alexander Conley', 'Alexei V. Filippenko', 'Mohan Ganeshalingam', 'Lisa Germany', 'Sergio Gonzalez', 'Samuel D. Gooding', 'Eric Hsiao', 'Daniel Kasen', 'Robert P. Kirshner', 'G. H. ""Howie"" Marion', 'Cesar Muena', 'Peter E. Nugent', 'M. Phelps', 'Mark M. Phillips', 'Yulei Qiu', 'Robert Quimby', 'K. Rines', 'Jeffrey M. Silverman', 'Nicholas B. Suntzeff', 'Rollin C. Thomas', 'Lifan Wang']",2011-06-20,arXiv:1106.3968v2,dyn_06f28bda32,paper_metadata,arxiv_1106_3968v2_the_most_slowly_declining_type_ia_supernova_2001ay.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1106.3968v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Can differences in the nickel abundance in Chandrasekhar mass models explain the relation between brightness and decline rate of normal Type Ia Supernovae?,"['Paolo A. Mazzali', ""Ken'ichi Nomoto"", 'Enrico Cappellaro', 'Takayoshi Nakamura', 'Hideyuki Umeda', 'Koichi Iwamoto']",2000-09-29,arXiv:0009490v1,dyn_91a89cff5c,paper_metadata,arxiv_0009490v1_can_differences_in_the_nickel_abundance_in_chandrasekhar_mass_models_explain_the.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0009490v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Type Ia Supernovae and Their Cosmological Implications,"['A. V. Filippenko', 'A. G. Riess']",1999-05-05,arXiv:9905049v1,dyn_2d4a05f372,paper_metadata,arxiv_9905049v1_type_ia_supernovae_and_their_cosmological_implications.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9905049v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Near-infrared light curves of type Ia supernovae,"['Dennis Jack', 'Peter H. Hauschildt', 'E. Baron']",2012-01-09,arXiv:1201.1723v1,dyn_e56a12af27,paper_metadata,arxiv_1201_1723v1_near_infrared_light_curves_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1201.1723v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
An Empirical Fitting Method for Type Ia Supernova Light Curves. II. Estimating the First-Light Time and Rise Time,"['WeiKang Zheng', 'Patrick L. Kelly', 'Alexei V. Filippenko']",2016-12-08,arXiv:1612.02725v3,dyn_6a9a047679,paper_metadata,arxiv_1612_02725v3_an_empirical_fitting_method_for_type_ia_supernova_light_curves_ii_estimating_the.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1612.02725v3,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Light curve studies of nearby Type Ia Supernovae with a Multi-band Stretch method,"['N. Takanashi', 'M. Doi', 'N. Yasuda']",2008-07-08,arXiv:0807.1244v1,dyn_1e617ab1fc,paper_metadata,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/0807.1244v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The Ultraviolet Brightest Type Ia Supernova 2011de,['Peter J. Brown'],2014-08-05,arXiv:1408.1033v1,dyn_a061a5be54,paper_metadata,arxiv_1408_1033v1_the_ultraviolet_brightest_type_ia_supernova_2011de.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1408.1033v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF SN Ia DR2: An environmental study of Type Ia supernovae using host galaxy image decomposition,"['R. Senzel', 'K. Maguire', 'U. Burgaz', 'G. Dimitriadis', 'M. Rigault', 'A. Goobar', 'J. Johansson', 'M. Smith', 'M. Deckers', 'L. Galbany', 'M. Ginolin', 'L. Harvey', 'Y. -L. Kim', 'T. E. Muller-Bravo', 'P. Nugent', 'P. Rosnet', 'J. Sollerman', 'J. H. Terwel', 'R. R. Laher', 'D. Reiley', 'B. Rusholme']",2024-11-18,arXiv:2411.11986v1,dyn_0f6e4d5ab2,paper_metadata,arxiv_2411_11986v1_ztf_sn_ia_dr2_an_environmental_study_of_type_ia_supernovae_using_host_galaxy_ima.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2411.11986v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The Spectroscopic Diversity of Type Ia Supernovae,"['S. Blondin', 'T. Matheson', 'R. P. Kirshner', 'K. S. Mandel', 'P. Berlind', 'M. Calkins', 'P. Challis', 'P. M. Garnavich', 'S. W. Jha', 'M. Modjaz', 'A. G. Riess', 'B. P. Schmidt']",2012-03-21,arXiv:1203.4832v2,dyn_f7bf3b6f4b,paper_metadata,arxiv_1203_4832v2_the_spectroscopic_diversity_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1203.4832v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
"Explosion Models for Type Ia Supernovae: A Comparison with Observed Light Curves, distances, H_o and q_o","['P. Hoeflich', 'A. Khokkhlov']",1996-02-06,arXiv:9602025v1,dyn_621e5930ab,paper_metadata,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9602025v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Optical Light Curves of the Type Ia Supernovae 1990N and 1991T,"['P. Lira', 'Nicholas B. Suntzeff', 'M. M. Phillips', 'Mario Hamuy', 'Jose Maza', 'R. A. Schommer', 'R. C. Smith', 'Lisa A. Wells', 'R. Aviles', 'J. A. Baldwin', 'J. H. Elias', 'L. Gonzalez', 'A. Layden', 'M. Navarrete', 'P. Ugarte', 'Alistair R. Walker', 'Gerard M. Williger', 'F. K. Baganoff', 'Arlin P. S. Crotts', 'R. Michael Rich', 'N. D. Tyson', 'A. Dey', 'P. Guhathakurta', 'J. Hibbard', 'Y. -C. Kim', 'Daniel M. Rehner', 'E. Siciliano', 'Joshua Roth', 'Patrick Seitzer', 'T. B. Williams']",1997-09-25,arXiv:9709262v1,dyn_a13b87d714,paper_metadata,arxiv_9709262v1_optical_light_curves_of_the_type_ia_supernovae_1990n_and_1991t.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9709262v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
A Precise Distance Indicator: Type Ia Supernova Multicolor Light Curve Shapes,"['Adam Riess', 'William Press', 'Robert Kirshner']",1996-04-24,arXiv:9604143v1,dyn_24d2067aac,paper_metadata,arxiv_9604143v1_a_precise_distance_indicator_type_ia_supernova_multicolor_light_curve_shapes.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9604143v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity of Decline-Rate-Corrected Type Ia Supernova Rise Times: One Mode or Two?,['Mark Strovink'],2007-05-05,arXiv:0705.0726v2,dyn_cfc983bb24,paper_metadata,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/0705.0726v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
