source_id,title,provider,source_type,published,year,decision,priority,source_role,priority_score,reason,matched_requirements,expected_extractable_fields,risk_notes,url,query,pdf_url,doi
src_ee5d7637,Pre-nebular light curves of type I supernovae,arxiv,paper,2016-11-26T22:00:08Z,,metadata_only,medium,supporting_paper,0.72,讨论早期光变曲线，但未提供具体数值或可提取参数，仅具理论参考价值。,,,,http://arxiv.org/abs/1611.08746v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1611.08746v2,
src_3c6bf7f2,Light Curve Models for SN 2009dc,arxiv,paper,2013-02-14T11:33:20Z,,metadata_only,medium,supporting_paper,0.72,针对超亮Ia型超新星SN 2009dc的模型研究，虽涉及大质量前身星，但样本单一，不具普遍代表性。,,,,http://arxiv.org/abs/1302.3375v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1302.3375v1,
src_27cfb7e4,"The fast declining Type Ia supernova 2003gs, and evidence for a significant dispersion in near-infrared absolute magnitudes of fast decliners at maximum light",arxiv,paper,2009-08-13T15:41:33Z,,metadata_only,medium,supporting_paper,0.72,研究快速衰减型Ia型超新星，虽揭示了近红外亮度的双峰分布，但样本量小，结论局部，仅作补充参考。,,,,http://arxiv.org/abs/0908.1918v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/0908.1918v2,
src_db757310,The absolute infrared magnitudes of type Ia supernovae,arxiv,paper,1999-12-07T05:08:24Z,,metadata_only,medium,supporting_paper,0.72,早期关于近红外绝对星等的研究，虽指出IR波段散射小，但未提供具体数值，仅作背景支撑。,,,,http://arxiv.org/abs/astro-ph/9912123v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/9912123v2,
src_e94ddd7b,Constraining the Properties of SNe~Ia Progenitors from Light Curves,arxiv,paper,2011-09-16T14:25:43Z,,metadata_only,medium,supporting_paper,0.72,提出利用主成分分析重建前身星属性，但未公开完整数据，仅作为方法论参考。,,,,http://arxiv.org/abs/1109.3629v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1109.3629v1,
src_d8ccaf87,Infrared Light Curves of Type Ia Supernovae,arxiv,paper,2002-11-06T06:15:44Z,,metadata_only,medium,supporting_paper,0.72,报告近红外光变曲线形态随衰减率的变化，但未提供量化数据，仅作趋势描述。,,,,http://arxiv.org/abs/astro-ph/0211100v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0211100v1,
src_50024e93,Artificial Neural Network Spectral Light Curve Template for Type Ia Supernovae and its Cosmological Constraints,arxiv,paper,2020-04-09T06:47:26Z,,metadata_only,medium,supporting_paper,0.72,提出人工神经网络光变曲线模板，虽具创新性，但尚未在大规模样本中验证，暂不深入。,,,,http://arxiv.org/abs/2004.04382v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2004.04382v1,
src_48e62a77,The Rise and Fall of Type Ia Supernova Light Curves in the SDSS-II Supernova Survey,arxiv,paper,2010-01-19T22:06:10Z,,metadata_only,medium,supporting_paper,0.72,研究SDSS-II样本的上升与下降时间，虽揭示了非对称性，但未提供可提取的数值参数。,,,,http://arxiv.org/abs/1001.3428v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1001.3428v2,
src_df5042ac,Secondary Parameters of Type Ia Supernova Light Curves,arxiv,paper,2009-12-11T13:39:15Z,,metadata_only,medium,supporting_paper,0.72,提出两个独立的次级参数控制光变曲线形状，但未给出具体数值，仅作为理论补充。,,,,http://arxiv.org/abs/0912.2231v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/0912.2231v1,
src_f0c36ffc,Can the violent merger of white dwarfs explain the slowest declining Type Ia supernova SN 2011aa?,arxiv,paper,2022-09-01T16:26:28Z,,metadata_only,medium,supporting_paper,0.72,研究慢衰减SN 2011aa的暴力合并模型，虽有启发性，但样本唯一，不具普适性。,,,,http://arxiv.org/abs/2209.00569v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2209.00569v1,
src_0dcd68a2,arXiv:astro-ph.HE - 超新星相关论文,,paper_search,,,metadata_only,low,noise,0.92,arXiv搜索结果列表本身无具体内容，仅为索引页，无法提取有效数据。,,,重复条目，非实际文献,https://arxiv.org/list/astro-ph.HE/recent,Ia supernova light curve peak magnitude decline rate,,
src_03947007,Supplementary Materials of ApJ Papers on SN Ia,,supplementary_material,,,metadata_only,low,noise,0.94,补充材料链接指向单篇论文，但未提供具体文件，无法确认是否包含所需数据。,,,链接可能失效或无内容,https://iopscience.iop.org/article/10.3847/1538-4357/abf6d2/suprep,,,
src_344df8c1,SIMBAD Astronomical Database,,open_database,,,metadata_only,low,metadata_reference,0.93,SIMBAD是天文实体知识库，可辅助溯源，但本身不提供光变曲线数据，仅作背景参考。,,,,http://simbad.u-strasbg.fr/simbad/,Ia supernova,,
src_04a17e6c,GitHub - Ia Supernova Light Curve Repository,,repository,,,read_readme,low,code_repository,0.88,GitHub仓库包含Ia型超新星光变曲线数据集与Python脚本，适合检查代码流程与数据格式，但需先读README确认可用性。,,,仓库无文件，需进一步检查,https://github.com/astrolab/ia-sn-lightcurves,,,
src_650a05f4,Type Ia Supernova Models and Progenitor Scenarios,arxiv,paper,2013-02-14T11:16:45Z,,metadata_only,low,noise,0.72,论文摘要仅描述爆炸机制，未提供具体光变曲线数据或参数，无法提取所需字段。,,,,http://arxiv.org/abs/1302.3371v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1302.3371v2,
src_7d71d101,UBVRI Light Curves of 44 Type Ia Supernovae,arxiv,paper,2005-09-08T23:14:51Z,,metadata_only,low,noise,0.72,U-band光度数据虽独特，但未提供具体数值或可提取表格，仅作补充说明。,,,,http://arxiv.org/abs/astro-ph/0509234v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0509234v1,
src_75369804,Epochs of Maximum Light and Bolometric Light Curves of Type Ia Supernovae,arxiv,paper,2000-05-25T07:44:18Z,,metadata_only,low,noise,0.72,讨论光变曲线平台期，但未提供具体数值或可提取参数。,,,,http://arxiv.org/abs/astro-ph/0005507v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0005507v1,
src_272c061e,Restframe I-band Hubble diagram for type Ia supernovae up to redshift z ~0.5,arxiv,paper,2005-04-06T10:16:13Z,,metadata_only,low,noise,0.72,研究I波段哈勃图，但未提供具体数据表或可提取值。,,,,http://arxiv.org/abs/astro-ph/0504139v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0504139v1,
src_154be166,The Supernova Legacy Survey (SNLS),,open_database,,,metadata_only,low,metadata_reference,0.95,SNLS是大型巡天项目，但未提供具体数据链接或文件，仅作背景引用。,,,,https://snls.physics.ubc.ca/,,,
src_d7fd1450,Las Cumbres Observatory Global Telescope Network (LCOGT),,open_database,,,metadata_only,low,metadata_reference,0.9,LCOGT是望远镜网络，但未提供具体观测数据，仅作技术背景。,,,,https://lco.global/,,,
src_10c88488,NASA Exoplanet Archive - Supernovae Section,,open_database,,,metadata_only,low,metadata_reference,0.75,NASA Exoplanet Archive含部分空间望远镜数据，但未明确列出Ia型超新星数据集，风险高。,,,相关性低，可能无用,https://exoplanetarchive.ipac.caltech.edu/,,,
src_b4e66d15,Topological Control of Chirality and Spin with Structured Light,arxiv,paper,2025-08-12T08:24:51Z,,reject,low,noise,0.72,主题为结构光操控，与Ia型超新星完全无关，属于严重误匹配。,,,完全无关,http://arxiv.org/abs/2508.08733v3,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2508.08733v3,
src_4e5fdd67,The light curves of type Ia Supernova 2004fu,arxiv,paper,2006-06-02T13:45:56Z,,metadata_only,low,noise,0.72,仅提及SN 2004fu的典型光变曲线，未提供具体数值或可提取数据。,,,,http://arxiv.org/abs/astro-ph/0606051v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0606051v2,
src_f44a6743,"Type Ia Supernova Progenitors, Environmental Effects, and Cosmic Supernova Rates",arxiv,paper,1999-07-27T17:31:07Z,,metadata_only,low,noise,0.72,讨论单简并模型与环境效应，但未提供可提取的光变曲线参数。,,,,http://arxiv.org/abs/astro-ph/9907386v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/9907386v1,
src_a215a02f,"A COLIBRI Photometric Study of SN 2025bvm: A Normal, Slowly Declining Type Ia Supernova",arxiv,paper,2026-01-12T17:24:04Z,,deep_read,high,primary_paper,0.72,最新发表的2026年论文，详细报告了SN 2025bvm的多波段光变曲线，包括Δm15(B)=0.867±0.051和M_B=-19.13±0.40 mag，是当前最前沿的实证研究。,"peak_magnitude, decay_rate, filter_band, observation_telescope, host_galaxy_type, redshift","supernova_name, redshift, peak_magnitude, filter_band, decay_rate, observation_telescope, host_galaxy_type",,http://arxiv.org/abs/2601.07745v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2601.07745v2,
src_b8fa6c5f,Absolute Magnitude Distribution And Light Curves Of Gamma-Ray Burst Supernovae,arxiv,paper,2008-12-10T19:39:59Z,,reject,low,noise,0.1,内容与伽马射线暴相关，与Ia型超新星无关，属于明显偏离主题的噪声数据。,,,完全不相关,http://arxiv.org/abs/0812.2007v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/0812.2007v1,
src_70e63b10,A multi-modal infant-based metric for choosing the best supernova,arxiv,paper,2025-04-01T15:31:16Z,,reject,low,noise,0.1,研究对象为核心坍缩超新星，非Ia型超新星；方法论涉及婴儿认知评估，不具备科学严谨性，属于伪科学实验。,,,"研究对象错误, 方法学不可靠",http://arxiv.org/abs/2504.00902v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2504.00902v1,
src_943926b0,Maximum Brightness and Post-Maximum Decline of Light Curves of SN~Ia: A Comparison of Theory and Observations,arxiv,paper,1996-09-09T16:23:57Z,,metadata_only,medium,supporting_paper,0.6,提供了早期理论与观测对比的基础分析，有助于理解光变曲线形态与物理参数的关系，但未提供具体数值或新数据。,"peak_magnitude, decay_rate","decline rate-magnitude relation, color-magnitude dispersion",,http://arxiv.org/abs/astro-ph/9609070v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/9609070v1,
src_31d5605c,The Progenitors of Type Ia Supernovae,arxiv,paper,1999-03-17T16:15:04Z,,metadata_only,medium,supporting_paper,0.6,综述了Ia型超新星的前身星模型，对双简并与单简并模型进行了批判性分析，可作为背景知识支持模型验证。,progenitor_model,"single-degenerate model, double-degenerate model, progenitor scenario strengths/weaknesses",,http://arxiv.org/abs/astro-ph/9903264v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/9903264v1,
src_f6a572d5,Light Curves of Microlensed Type Ia Supernovae,arxiv,paper,2004-11-23T00:06:28Z,,reject,low,noise,0.1,仅讨论微透镜对Ia型超新星光变曲线的影响，无实际观测数据或模型参数，无法用于标准亮度校准或前身星分析。,,,非目标研究,http://arxiv.org/abs/astro-ph/0411622v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0411622v2,
src_83a09200,Type Ia Supernova Light Curve Inference: Hierarchical Bayesian Analysis in the Near Infrared,arxiv,paper,2009-08-04T20:07:00Z,,metadata_only,medium,supporting_paper,0.6,提出了一种在近红外波段进行Ia型超新星光变曲线推断的贝叶斯框架，适用于距离估计，但未提供具体SN样本数据。,"peak_magnitude, decay_rate","NIR absolute magnitude variance, J-band light curve shape correlation",,http://arxiv.org/abs/0908.0536v3,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/0908.0536v3,
src_53120efa,SALT: a Spectral Adaptive Light curve Template for Type Ia Supernovae,arxiv,paper,2005-06-24T09:55:13Z,,metadata_only,medium,supporting_paper,0.6,提出了SALT模型，是当前主流光变曲线拟合工具之一，可用于后续交叉验证不同研究间的系统偏差。,"light_curve_fits, fit_method","SALT2 model parameters, shape parameter, color parameter",,http://arxiv.org/abs/astro-ph/0506583v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0506583v2,
src_a14da45e,On the Relation Between Peak Luminosity and Parent Population of Type Ia Supernovae: A New Tool for Probing the Ages of Distant Galaxies,arxiv,paper,2000-06-03T20:16:07Z,,metadata_only,medium,supporting_paper,0.6,研究了Ia型超新星性质与宿主星系位置的关系，支持年龄而非金属丰度影响的观点，有助于环境效应分析。,"host_galaxy_type, redshift","radial gradient in brightness, light curve width variation",,http://arxiv.org/abs/astro-ph/0006047v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0006047v1,10.1086/317060
src_234cb7c9,Type Ia Supernovae and Their Cosmological Implications,arxiv,paper,1999-05-05T22:02:56Z,,metadata_only,medium,supporting_paper,0.6,经典论文首次提出宇宙加速膨胀的证据，具有历史意义，但其结论已过时，不适用于当前建模需求。,"peak_magnitude, decay_rate","luminosity distance, cosmological constant",年代久远，已被更新研究覆盖,http://arxiv.org/abs/astro-ph/9905049v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/9905049v1,
src_3f5b781a,Two classes of fast-declining type Ia supernovae,arxiv,paper,2017-02-20T10:58:13Z,,deep_read,high,primary_paper,0.95,明确区分快速衰减型Ia型超新星的两类，并给出其总抛射质量（M_ej < 1 M☉）与亚钱德拉塞卡质量前身星的联系，直接支持‘来源证据’字段的提取。,"peak_magnitude, decay_rate, progenitor_model, host_galaxy_type","L_max, bolometric luminosity, NIR peak luminosity, total ejecta mass, sub-Chandrasekhar mass",,http://arxiv.org/abs/1702.06585v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1702.06585v1,
src_d585f79d,Carnegie Supernova Project: Fast-Declining Type Ia Supernovae as Cosmological Distance Indicators,arxiv,paper,2025-09-08T18:00:05Z,,deep_read,high,primary_paper,0.95,针对快速衰减型Ia型超新星的Hubble流样本进行分析，提出基于颜色的‘Color’技术，无需依赖光变形状即可估算距离，为衰减率与颜色关系提供新视角。,"peak_magnitude, decay_rate, observation_telescope, filter_band","color-stretch parameter s_BV, distance modulus calibration, color-based distance estimation",,http://arxiv.org/abs/2509.07093v3,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2509.07093v3,
src_80cc9b5a,Light curves of five type Ia supernovae at intermediate redshift,arxiv,paper,2007-11-09T17:10:31Z,,metadata_only,medium,supporting_paper,0.6,提供了中红移Ia型超新星的多波段光变曲线和距离测量，可用于跨红移比较，但未深入探讨前身星机制。,"peak_magnitude, decay_rate, redshift","multi-band light curves, distance estimates",,http://arxiv.org/abs/0711.1375v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/0711.1375v2,
src_ee103f97,Nearby Supernova Factory Observations of SN 2005gj: Another Type Ia Supernova in a Massive Circumstellar Envelope,arxiv,paper,2006-06-20T21:28:11Z,,deep_read,high,primary_paper,0.9,报告了SN 2005gj的强相互作用特征，揭示了其可能的前身星环境（如致密包层），为混合型Ia/IIn事件提供关键证据。,"progenitor_model, host_galaxy_type, observation_telescope","circumstellar material density profile, interaction strength, host galaxy metallicity",,http://arxiv.org/abs/astro-ph/0606499v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0606499v1,
src_3a355fcd,"A Physical Model for SN 2001ay, a normal, bright, extremely slowly declining Type Ia supernova",arxiv,paper,2012-05-03T20:04:35Z,,deep_read,high,primary_paper,0.95,详细分析了极慢衰减的SN 2001ay，提出其光变曲线可通过高爆炸能量和α<1解释，支持反Phillips关系的存在，是理解异常光变曲线的关键案例。,"peak_magnitude, decay_rate, progenitor_model","Δm15(B) = 0.68 mag, Ni-56 yield, explosion energy, alpha parameter",,http://arxiv.org/abs/1205.0814v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1205.0814v1,
src_613f3b5b,Type Ia supernova bolometric light curves and ejected mass estimates from the Nearby Supernova Factory,arxiv,paper,2014-02-27T10:03:32Z,,deep_read,high,primary_paper,0.95,首次建立正常Ia型超新星的抛射质量与光变曲线衰减速率之间的强相关性，明确指出快衰减者多为亚钱德拉塞卡质量，直接支持前身星模型推断。,"peak_magnitude, decay_rate, progenitor_model","ejected mass range (0.9–1.4 M☉), correlation between M_ej and decline rate, sub-Chandrasekhar mass evidence",,http://arxiv.org/abs/1402.6842v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1402.6842v1,
src_83d92056,The Rising Light Curves of Type Ia Supernovae,arxiv,paper,2014-11-04T21:00:13Z,,deep_read,high,primary_paper,0.9,分析了18个Ia型超新星的上升阶段光变曲线，发现幂律指数n > 2，表明镍分布不均，为早期光变与前身星结构提供直接证据。,"peak_magnitude, decay_rate, progenitor_model","rise time t_rise, power-law exponent n, Ni mixing degree",,http://arxiv.org/abs/1411.1064v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1411.1064v1,
src_5651b667,A year-long plateau in the late-time near-infrared light curves of Type Ia supernovae,arxiv,paper,2019-10-08T18:02:44Z,,deep_read,high,primary_paper,0.9,首次报告Ia型超新星在近红外波段存在长达一年的平台期，挑战传统模型，提出散射机制解释，对光变曲线物理机制有深远影响。,"peak_magnitude, decay_rate, filter_band","near-infrared plateau duration, transition off plateau, UV photon scattering mechanism",,http://arxiv.org/abs/1910.03614v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1910.03614v1,
src_79c0bee0,Chang-Refsdal Microlensed Type Ia Supernova Light Curves,arxiv,paper,2006-08-17T02:05:24Z,,reject,low,noise,0.1,仅讨论微透镜对光变曲线形状的影响，无实际观测数据，无法用于标准烛光或前身星分析。,,,非目标研究,http://arxiv.org/abs/astro-ph/0608361v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0608361v1,
src_17e5146f,The late-time light curve of the Type Ia supernova 2000cx,arxiv,paper,2004-09-14T15:15:58Z,,deep_read,high,primary_paper,0.9,通过晚期光变曲线分析，发现近红外波段亮度几乎不变，说明光学波段不能代表整体光度，对K校正和距离计算有重要启示。,"peak_magnitude, decay_rate, filter_band","near-IR magnitude constancy, infrared catastrophe signature, positron escape fraction",,http://arxiv.org/abs/astro-ph/0409338v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0409338v1,
src_264607a8,Type II Supernova Light Curves and Spectra From the CfA,arxiv,paper,2017-06-04T05:44:36Z,,reject,low,noise,0.1,研究对象为II型超新星，与Ia型超新星无关，属于明显错位数据。,,,研究对象错误,http://arxiv.org/abs/1706.01030v4,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1706.01030v4,
src_84a5cb36,Theoretical light curves for deflagration models of Type Ia supernova,arxiv,paper,2006-03-02T00:05:10Z,,metadata_only,medium,supporting_paper,0.6,提供了理论光变曲线与观测对比，可用于验证模型有效性，但未提供具体数值。,light_curve_fits,"theoretical vs observed light curves, Arnett's rule validation",,http://arxiv.org/abs/astro-ph/0603036v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0603036v1,
src_d43f9d69,The Morphology of Type Ia Supernovae Light Curves,arxiv,paper,1996-09-07T20:14:26Z,,metadata_only,medium,supporting_paper,0.6,建立了BVI模板光变曲线，显示了初始衰减速率与光度之间的有序变化，是理解序列化现象的基础。,"peak_magnitude, decay_rate","m15(B) range, V-band bolometric approximation",,http://arxiv.org/abs/astro-ph/9609063v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/9609063v1,
src_3c78827c,An investigation of $^{56}$Ni shells as the source of early light curve bumps in type Ia supernovae,arxiv,paper,2020-07-04T14:05:58Z,,deep_read,high,primary_paper,0.9,系统研究了外层镍壳对早期光变曲线的贡献，提出即使少量镍也能产生显著光变突起，为异常早期光变提供物理解释。,"peak_magnitude, decay_rate, progenitor_model","Ni shell mass (0.01–0.04 M☉), early flux excess, color inversion feature",,http://arxiv.org/abs/2007.02101v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2007.02101v2,
src_9343df8f,Nearby Supernova Factory Observations of SN 2006D: On Sporadic Carbon Signatures in Early Type Ia Supernova Spectra,arxiv,paper,2006-11-10T23:27:41Z,,deep_read,high,primary_paper,0.9,首次在Ia型超新星中发现光球速度下的碳吸收特征，为白矮星爆炸模型提供直接观测证据。,"progenitor_model, host_galaxy_type","C II λ6580 absorption, photospheric velocity carbon, clumpy unburned material",,http://arxiv.org/abs/astro-ph/0611356v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0611356v1,
src_6087c596,The Most Slowly Declining Type Ia Supernova 2001ay,arxiv,paper,2011-06-20T17:03:18Z,,deep_read,high,primary_paper,0.95,全面分析了最慢衰减的SN 2001ay，确认其并非超亮，而是由γ射线捕获导致，为理解光变曲线形态提供关键机制。,"peak_magnitude, decay_rate, progenitor_model","Δm15(B) = 0.68 ± 0.05, Ni-56 yield, gamma-ray trapping",,http://arxiv.org/abs/1106.3968v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1106.3968v2,
src_74584c7d,Can differences in the nickel abundance in Chandrasekhar mass models explain the relation between brightness and decline rate of normal Type Ia Supernovae?,arxiv,paper,2000-09-29T14:22:50Z,,deep_read,high,primary_paper,0.9,从理论上证明镍丰度差异可解释亮度与衰减速率的关系，是理解Phillips关系物理基础的核心论文。,"peak_magnitude, decay_rate, progenitor_model","Ni abundance variation, opacity dependence on Fe-peak elements, spectral evolution",,http://arxiv.org/abs/astro-ph/0009490v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0009490v1,
